persona_id,Q1_Accomplishment,Q2_Effort,Q3_Mental_Demand,Q4_Controllability,Q5_Temporal_Demand,Q6_Satisfaction,Current_Job_Role
0,4,3,4,3,2,4,College Teacher
1,4,3,2,5,2,4,College Teacher
2,4,3,4,4,2,4,High School Teacher
3,4,3,4,5,3,4,College Teacher
4,4,3,3,4,2,4,High School Teacher
5,4,3,2,5,1,4,High School Teacher
6,3,3,3,3,3,3,High School Teacher
7,4,3,3,4,3,4,High School Teacher
8,4,3,3,5,1,4,College Teacher
9,4,3,2,4,5,4,High School Teacher
10,4,3,2,5,2,4,College Teacher
11,4,3,2,4,1,4,High School Teacher
12,4,2,3,4,5,3,College Teacher
13,4,3,2,5,1,4,College Teacher
14,4,3,2,4,4,4,High School Teacher
15,4,3,3,4,2,4,High School Teacher
16,4,3,4,5,2,4,College Teacher
17,4,3,3,5,2,4,High School Teacher
18,4,5,3,4,2,3,College Teacher
19,4,3,3,5,2,4,High School Teacher
20,4,3,2,4,1,4,College Teacher
21,4,3,2,5,1,4,High School Teacher
22,4,3,3,5,1,4,College Teacher
23,4,3,3,5,2,4,College Teacher
24,4,2,2,5,1,4,College Teacher
25,3,3,3,3,3,3,High School Teacher
26,4,3,2,4,1,4,College Teacher
27,4,3,3,5,1,4,College Teacher
28,4,3,3,4,2,3,College Teacher
29,4,3,3,5,5,3,College Teacher
30,4,4,3,5,3,4,College Teacher
31,4,3,2,4,2,4,High School Teacher
32,4,3,3,4,5,4,College Teacher
33,4,3,3,4,2,4,College Teacher
34,4,4,3,5,3,4,College Teacher
35,4,4,3,3,3,4,High School Teacher
36,3,3,3,3,3,3,High School Teacher
37,4,3,3,5,2,4,High School Teacher
38,4,3,3,5,3,4,College Teacher
39,4,3,3,4,2,4,College Teacher
40,4,3,3,4,2,4,College Teacher
41,4,3,3,5,4,4,High School Teacher
42,4,3,3,5,2,4,High School Teacher
43,3,3,3,3,3,3,College Teacher
44,3,3,3,3,3,3,High School Teacher
45,4,3,3,4,2,4,College Teacher
46,4,3,3,4,4,4,College Teacher
47,4,3,4,5,1,4,High School Teacher
48,4,3,2,5,3,4,College Teacher
49,4,3,2,5,1,4,College Teacher
50,4,3,3,5,1,4,High School Teacher
51,4,3,2,4,2,4,High School Teacher
52,4,3,3,5,1,4,College Teacher
53,4,3,4,4,5,4,High School Teacher
54,4,3,3,5,4,4,High School Teacher
55,4,2,3,5,1,4,College Teacher
56,4,3,2,4,5,4,College Teacher
57,4,3,3,4,5,4,College Teacher
58,4,3,3,4,2,4,High School Teacher
59,4,3,4,4,4,3,College Teacher
60,4,4,3,5,3,3,College Teacher
61,4,3,2,4,4,3,High School Teacher
62,4,4,3,5,4,3,High School Teacher
63,4,3,3,5,2,4,College Teacher
64,4,2,3,5,1,4,College Teacher
