persona_id,Q1_Accomplishment,Q2_Effort,Q3_Mental_Demand,Q4_Controllability,Q5_Temporal_Demand,Q6_Satisfaction,Current_Job_Role
0,4,3,2,3,5,3,College Teacher
1,2,1,3,4,5,2,College Teacher
2,2,3,2,3,4,3,High School Teacher
3,4,3,2,4,1,3,College Teacher
4,4,2,1,5,3,4,High School Teacher
5,3,2,1,4,5,3,High School Teacher
6,2,4,3,1,5,3,High School Teacher
7,4,2,3,5,1,4,High School Teacher
8,4,2,3,2,5,3,College Teacher
9,4,2,1,3,5,3,High School Teacher
10,4,2,3,5,1,4,College Teacher
11,3,2,1,4,5,4,High School Teacher
12,2,3,1,2,5,2,College Teacher
13,5,2,1,4,3,4,College Teacher
14,4,2,1,3,5,3,High School Teacher
15,4,3,2,4,5,4,High School Teacher
16,4,2,3,4,5,3,College Teacher
17,3,2,1,4,5,4,High School Teacher
18,2,1,3,4,5,3,College Teacher
19,4,3,2,5,1,4,High School Teacher
20,4,2,1,3,5,3,College Teacher
21,4,2,3,5,1,3,High School Teacher
22,4,3,2,5,1,4,College Teacher
23,3,3,3,3,3,3,College Teacher
24,3,3,3,3,3,3,College Teacher
25,3,3,3,3,3,3,High School Teacher
26,3,2,1,3,5,2,College Teacher
27,2,3,1,4,5,3,College Teacher
28,4,5,3,2,1,4,College Teacher
29,4,2,1,3,5,4,College Teacher
30,3,4,2,1,5,3,College Teacher
31,4,3,2,5,1,4,High School Teacher
32,2,3,1,4,5,2,College Teacher
33,3,3,3,3,3,3,College Teacher
34,3,3,3,3,3,3,College Teacher
35,3,4,2,4,5,3,High School Teacher
36,2,1,2,3,5,2,High School Teacher
37,2,3,1,2,1,3,High School Teacher
38,4,3,2,3,5,3,College Teacher
39,3,3,3,3,3,3,College Teacher
40,3,2,1,3,5,3,College Teacher
41,4,2,3,3,5,2,High School Teacher
42,3,3,3,3,3,3,High School Teacher
43,4,2,1,5,2,4,College Teacher
44,3,4,2,5,5,3,High School Teacher
45,2,3,1,4,5,3,College Teacher
46,4,3,3,2,4,4,College Teacher
47,2,1,4,3,1,2,High School Teacher
48,4,2,1,4,1,4,College Teacher
49,2,4,3,1,5,2,College Teacher
50,3,2,4,2,1,3,High School Teacher
51,3,3,3,3,3,3,High School Teacher
52,3,3,3,3,3,3,College Teacher
53,3,3,3,3,3,3,High School Teacher
54,4,2,3,5,1,4,High School Teacher
55,3,3,3,3,3,3,College Teacher
56,3,2,3,4,1,3,College Teacher
57,3,1,2,4,5,3,College Teacher
58,4,3,2,5,1,4,High School Teacher
59,3,3,3,3,3,3,College Teacher
60,4,3,2,4,5,4,College Teacher
61,4,5,1,4,5,4,High School Teacher
62,3,3,3,3,3,3,High School Teacher
63,2,1,3,4,5,4,College Teacher
64,4,3,2,4,5,4,College Teacher
