persona_id,Q1_Accomplishment,Q2_Effort,Q3_Mental_Demand,Q4_Controllability,Q5_Temporal_Demand,Q6_Satisfaction,Current_Job_Role
0,4,2,2,3,1,4,College Teacher
1,3,2,2,3,1,3,College Teacher
2,3,2,2,3,1,3,High School Teacher
3,4,2,2,3,1,3,College Teacher
4,3,2,2,3,1,3,High School Teacher
5,4,2,2,3,1,4,High School Teacher
6,3,2,2,2,1,3,High School Teacher
7,3,2,2,2,1,3,High School Teacher
8,3,2,2,3,1,3,College Teacher
9,3,2,2,3,1,3,High School Teacher
10,4,2,2,3,1,3,College Teacher
11,3,2,2,3,1,3,High School Teacher
12,4,2,2,3,1,4,College Teacher
13,3,2,2,2,1,3,College Teacher
14,3,2,2,3,1,3,High School Teacher
15,3,4,2,3,1,3,High School Teacher
16,3,2,2,3,1,3,College Teacher
17,3,2,2,3,1,3,High School Teacher
18,3,2,2,3,1,3,College Teacher
19,4,1,2,4,1,3,High School Teacher
20,2,2,2,2,1,2,College Teacher
21,3,2,2,2,1,2,High School Teacher
22,3,2,2,3,1,3,College Teacher
23,4,2,2,3,1,3,College Teacher
24,3,2,2,3,1,3,College Teacher
25,4,2,2,4,1,4,High School Teacher
26,3,2,2,3,1,3,College Teacher
27,4,2,2,3,1,4,College Teacher
28,3,2,2,3,1,3,College Teacher
29,3,2,2,2,1,2,College Teacher
30,3,2,2,3,1,3,College Teacher
31,3,1,2,3,1,3,High School Teacher
32,3,2,2,3,1,3,College Teacher
33,4,2,2,3,1,4,College Teacher
34,3,2,2,2,1,3,College Teacher
35,4,2,2,3,1,4,High School Teacher
36,2,2,2,1,1,2,High School Teacher
37,3,2,2,2,1,3,High School Teacher
38,4,2,2,4,1,4,College Teacher
39,4,2,2,4,1,4,College Teacher
40,3,2,2,2,1,2,College Teacher
41,4,2,2,3,1,3,High School Teacher
42,4,2,2,3,1,3,High School Teacher
43,3,2,2,2,1,3,College Teacher
44,3,2,2,2,1,3,High School Teacher
45,2,2,2,2,1,2,College Teacher
46,3,2,2,2,1,3,College Teacher
47,4,2,2,4,1,4,High School Teacher
48,2,2,2,2,1,2,College Teacher
49,4,2,2,3,1,3,College Teacher
50,3,2,2,3,1,3,High School Teacher
51,3,2,2,2,1,3,High School Teacher
52,3,2,2,3,1,3,College Teacher
53,3,2,2,3,1,3,High School Teacher
54,3,2,2,2,1,3,High School Teacher
55,3,2,2,3,1,3,College Teacher
56,3,2,2,3,2,3,College Teacher
57,3,2,2,2,1,3,College Teacher
58,3,2,2,2,1,2,High School Teacher
59,4,1,2,4,1,3,College Teacher
60,4,2,2,3,1,3,College Teacher
61,4,2,2,3,1,3,High School Teacher
62,4,2,2,4,1,4,High School Teacher
63,3,2,2,3,1,3,College Teacher
64,4,2,2,4,1,4,College Teacher
