persona_id,Q1_Accomplishment,Q2_Effort,Q3_Mental_Demand,Q4_Controllability,Q5_Temporal_Demand,Q6_Satisfaction,Current_Job_Role
0,3,2,2,3,1,3,College Teacher
1,3,2,2,3,1,3,College Teacher
2,4,1,1,4,1,4,High School Teacher
3,4,2,2,3,1,3,College Teacher
4,4,2,2,4,1,4,High School Teacher
5,3,2,2,2,1,2,High School Teacher
6,2,2,2,2,1,2,High School Teacher
7,4,2,2,4,1,4,High School Teacher
8,4,2,2,3,1,3,College Teacher
9,4,2,2,3,1,3,High School Teacher
10,4,1,2,3,1,4,College Teacher
11,2,2,2,2,1,2,High School Teacher
12,3,2,2,3,1,3,College Teacher
13,4,2,2,4,1,4,College Teacher
14,4,2,2,3,1,3,High School Teacher
15,3,2,2,3,1,3,High School Teacher
16,4,1,2,4,1,4,College Teacher
17,4,1,2,4,1,3,High School Teacher
18,4,2,2,4,1,4,College Teacher
19,4,1,1,4,1,4,High School Teacher
20,4,2,2,3,1,3,College Teacher
21,4,1,1,4,1,4,High School Teacher
22,3,2,2,3,1,3,College Teacher
23,4,2,2,4,1,4,College Teacher
24,4,2,2,3,1,3,College Teacher
25,3,2,2,2,1,3,High School Teacher
26,4,1,1,4,1,3,College Teacher
27,3,2,2,3,1,3,College Teacher
28,3,2,2,2,1,3,College Teacher
29,3,2,2,2,1,3,College Teacher
30,3,2,2,3,1,3,College Teacher
31,4,2,2,4,1,4,High School Teacher
32,2,2,2,2,1,2,College Teacher
33,4,2,2,4,1,4,College Teacher
34,3,2,2,3,1,3,College Teacher
35,3,2,2,3,1,3,High School Teacher
36,3,2,2,3,1,3,High School Teacher
37,2,2,2,2,1,2,High School Teacher
38,4,2,2,4,1,4,College Teacher
39,3,4,2,3,1,3,College Teacher
40,3,2,2,3,1,3,College Teacher
41,4,5,2,4,1,4,High School Teacher
42,3,2,2,2,1,3,High School Teacher
43,2,2,2,2,1,2,College Teacher
44,3,2,2,3,1,3,High School Teacher
45,4,2,2,3,1,4,College Teacher
46,4,2,2,3,1,4,College Teacher
47,3,2,2,3,1,3,High School Teacher
48,3,2,2,2,1,3,College Teacher
49,4,2,2,3,1,4,College Teacher
50,4,2,2,3,1,4,High School Teacher
51,3,2,2,2,1,2,High School Teacher
52,3,2,2,3,1,3,College Teacher
53,3,2,2,3,1,3,High School Teacher
54,4,2,2,3,1,4,High School Teacher
55,4,2,2,3,1,4,College Teacher
56,4,1,1,4,1,4,College Teacher
57,3,2,2,3,1,3,College Teacher
58,3,2,2,2,1,2,High School Teacher
59,4,2,2,3,1,4,College Teacher
60,3,2,2,3,1,3,College Teacher
61,4,2,2,3,1,3,High School Teacher
62,3,2,2,2,1,3,High School Teacher
63,3,2,3,3,2,3,College Teacher
64,4,2,2,3,1,3,College Teacher
