session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
37,undergraduate,5,4,4,4,2,3
38,graduate,5,5,5,4,5,4
40,graduate,4,5,5,5,5,5
41,graduate,3,1,4,2,1,4
45,undergraduate,5,5,5,3,1,4
47,undergraduate,5,5,5,2,2,3
50,undergraduate,2,5,5,3,4,4
55,undergraduate,5,5,4,3,5,3
59,undergraduate,1,4,3,3,2,2
67,undergraduate,4,5,5,4,5,3
73,undergraduate,2,5,5,2,5,2
123,graduate,4,5,4,4,5,4
125,graduate,4,4,4,3,5,2
127,graduate,5,5,5,5,5,5
129,undergraduate,2,4,4,3,4,1
131,undergraduate,3,4,5,2,4,3
137,undergraduate,4,5,5,1,5,1
143,graduate,5,5,5,5,3,5
153,graduate,3,5,5,4,2,3
154,graduate,5,5,5,4,3,4
156,graduate,5,5,5,5,5,4
166,graduate,4,5,4,5,5,4
170,graduate,4,5,5,3,5,4
172,high_school,4,5,5,4,4,3
180,graduate,3,5,4,3,1,5
188,high_school,1,5,5,5,5,5
198,high_school,4,2,4,5,1,5
214,high_school,2,5,5,3,3,3
215,high_school,1,5,5,1,3,1
219,high_school,4,4,4,4,3,4
221,high_school,5,3,3,2,1,3
228,undergraduate,5,4,5,4,2,5
229,undergraduate,3,5,5,5,5,5
237,undergraduate,2,4,3,2,4,2
239,graduate,4,5,5,4,5,3
241,graduate,5,5,5,5,5,5
242,graduate,5,4,4,5,5,5
244,graduate,3,5,5,5,5,5
246,graduate,3,5,5,4,3,2
250,graduate,5,4,4,4,5,4
251,graduate,5,5,5,5,5,5
254,graduate,5,5,4,5,3,4
265,undergraduate,2,2,4,2,5,5
268,undergraduate,4,4,5,3,5,3
269,undergraduate,4,4,4,5,3,5
278,undergraduate,4,5,5,4,5,4
285,undergraduate,4,5,5,4,5,2
288,high_school,5,4,4,5,5,3
289,high_school,4,5,4,4,2,4
293,undergraduate,4,4,3,5,3,5
849,graduate,4,4,4,4,4,4
855,undergraduate,5,4,3,4,3,4
861,undergraduate,4,5,4,4,5,4
863,graduate,4,3,5,5,1,4
877,undergraduate,4,3,3,3,2,3
