session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
37,undergraduate,5,3,3,4,2,4
37,undergraduate,4,3,3,4,2,4
38,graduate,3,3,3,3,2,3
38,graduate,4,3,3,3,2,3
40,graduate,4,3,3,3,2,3
40,graduate,4,3,3,3,2,3
41,graduate,4,3,3,3,2,3
41,graduate,3,3,2,3,2,3
45,undergraduate,5,4,4,3,2,3
47,undergraduate,5,4,4,3,3,4
50,undergraduate,4,4,4,3,3,4
55,undergraduate,5,4,4,4,2,4
59,undergraduate,5,3,3,4,2,5
67,undergraduate,2,4,4,2,3,2
73,undergraduate,3,4,4,2,3,3
123,graduate,5,3,3,4,2,4
125,graduate,2,3,3,3,2,2
153,graduate,4,4,4,3,2,4
154,graduate,2,3,3,2,2,2
156,graduate,3,2,2,3,1,4
166,graduate,3,2,2,3,2,3
170,graduate,4,3,3,3,2,3
172,high_school,2,4,4,2,3,2
180,graduate,1,3,3,2,2,2
188,high_school,1,4,4,2,3,2
198,high_school,2,4,4,2,3,2
214,high_school,3,4,5,2,3,3
215,high_school,2,4,5,2,3,2
219,high_school,5,4,4,5,2,5
221,high_school,4,4,4,3,3,4
228,undergraduate,5,4,4,4,2,4
229,undergraduate,3,4,4,3,2,3
237,undergraduate,2,4,4,2,2,2
239,graduate,5,3,3,4,2,4
241,graduate,4,3,3,3,2,3
242,graduate,5,3,3,4,2,4
244,graduate,5,3,3,3,2,4
246,graduate,2,4,4,2,2,3
250,graduate,5,3,3,4,2,4
251,graduate,2,4,4,2,3,3
254,graduate,2,3,3,3,2,2
265,undergraduate,2,4,4,3,3,3
268,undergraduate,5,4,4,3,2,4
269,undergraduate,4,3,4,4,2,4
278,undergraduate,3,4,4,3,2,3
285,undergraduate,4,4,4,3,2,3
288,high_school,5,4,4,4,2,4
289,high_school,3,4,4,2,2,2
293,undergraduate,2,4,4,2,3,2
849,graduate,4,4,4,3,2,3
855,undergraduate,5,3,3,4,2,4
861,undergraduate,2,4,4,3,2,3
861,undergraduate,2,4,4,3,2,3
863,graduate,3,3,3,3,2,3
877,undergraduate,4,4,4,4,2,4
