session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,frustration,trust
37,undergraduate,4.4,3.4,3.6,4.4,2.4,1.2,4.8
38,graduate,4.0,3.0,4.0,3.4,2.4,1.6,4.0
40,graduate,4.0,3.4,4.2,3.4,3.0,1.6,4.2
41,graduate,4.0,3.1667,4.0,3.1667,1.6667,1.3333,4.0
45,undergraduate,4.4,3.2,4.0,4.4,2.4,1.4,4.8
47,undergraduate,4.0,3.0,4.0,2.8,2.4,2.2,4.2
50,undergraduate,3.0,3.6667,4.0,2.0,3.3333,2.3333,3.3333
55,undergraduate,4.2,3.4,4.0,4.2,2.0,1.6,4.4
59,undergraduate,4.0,3.2,3.6,4.4,2.2,1.2,4.4
67,undergraduate,2.2,3.2,3.8,1.8,2.6,3.0,2.4
73,undergraduate,2.6,3.4,3.8,2.0,3.2,2.8,2.6
123,graduate,4.2,3.2,4.2,4.0,2.2,1.4,4.8
125,graduate,3.4,3.8,4.0,2.8,2.4,2.0,4.2
127,graduate,4.0,3.6667,4.3333,3.3333,3.0,1.6667,4.0
129,undergraduate,2.8,3.8,4.0,2.2,2.6,2.4,3.4
131,undergraduate,4.4,3.0,3.8,4.0,2.2,1.4,4.4
137,undergraduate,4.2,3.2,3.6,3.8,2.0,1.6,4.4
143,graduate,4.0,3.4,4.0,3.2,2.0,2.0,4.2
153,graduate,3.3333,3.6667,4.0,3.6667,2.3333,1.6667,4.3333
154,graduate,3.0,3.5,4.0,2.0,1.5,1.75,3.75
156,graduate,4.0,3.0,4.0,3.4,2.2,1.4,4.0
166,graduate,4.6,3.4,4.4,3.0,2.6,1.8,4.4
170,graduate,3.8,3.2,4.0,3.4,2.4,2.2,4.2
172,high_school,2.0,3.0,3.6,1.8,2.6,2.6,2.0
180,graduate,2.2,3.8,4.0,2.6,2.4,2.4,2.6
188,high_school,1.75,3.5,3.25,1.25,2.75,3.25,2.0
198,high_school,2.0,3.3333,3.6667,1.3333,1.6667,3.3333,1.6667
214,high_school,3.0,3.6,4.0,2.0,2.0,2.8,3.6
215,high_school,1.8333,3.6667,3.6667,1.5,3.5,3.1667,1.6667
219,high_school,4.8,3.6,4.2,4.8,1.8,1.4,4.8
221,high_school,3.8,3.4,3.4,3.4,2.2,2.2,4.2
228,undergraduate,3.8,3.2,4.0,3.0,2.2,1.8,4.0
229,undergraduate,3.25,3.75,4.0,2.25,3.25,2.25,3.25
237,undergraduate,2.2,3.6,3.4,1.8,2.2,2.2,2.2
239,graduate,4.4,3.2,4.2,4.2,2.2,1.2,4.6
241,graduate,3.4,2.6,4.0,3.8,2.2,2.0,3.4
242,graduate,4.0,3.0,4.0,4.2,2.2,1.4,4.4
244,graduate,4.0,3.2,4.2,4.0,2.0,1.4,4.4
246,graduate,3.0,4.0,4.0,2.4,2.6,2.2,3.8
250,graduate,4.6,3.4,4.4,4.0,2.2,1.6,4.6
251,graduate,3.2,3.8,4.0,2.4,1.8,2.2,3.8
254,graduate,2.8333,3.8333,4.0,2.3333,2.5,1.6667,3.6667
265,undergraduate,2.4,3.8,4.0,2.4,2.6,2.0,2.8
268,undergraduate,4.0,3.0,3.8,3.8,2.0,1.8,4.2
269,undergraduate,4.0,3.2,3.6,4.8,2.2,1.4,4.4
278,undergraduate,3.2,3.6,4.0,2.4,2.0,2.0,3.4
285,undergraduate,3.4,3.6,3.8,2.0,2.6,2.0,3.6
288,high_school,4.2,2.8,4.0,3.8,1.8,1.8,4.4
289,high_school,2.4,3.6,4.0,2.2,2.8,3.0,2.6
293,undergraduate,2.0,3.0,3.8,1.8,2.4,2.6,1.8
849,graduate,3.4,3.6,4.2,2.4,2.6,2.0,4.0
855,undergraduate,4.4286,3.2857,4.0,4.5714,2.1429,1.1429,5.0
861,undergraduate,2.8571,3.4286,3.7143,2.4286,2.1429,2.4286,3.0
863,graduate,3.7143,3.2857,3.8571,3.7143,2.0,1.7143,4.0
877,undergraduate,3.5714,3.4286,3.5714,3.2857,1.8571,1.2857,3.7143
