session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
37,undergraduate,4,3,4,5,2,5
38,graduate,4,3,4,3,3,4
40,graduate,4,3,4,4,2,4
41,graduate,4,3,4,2,1,3
45,undergraduate,5,4,4,5,3,5
47,undergraduate,4,3,4,2,2,4
50,undergraduate,3,3,4,2,2,4
55,undergraduate,4,3,4,4,2,4
59,undergraduate,4,3,4,3,2,4
67,undergraduate,3,4,4,2,2,3
73,undergraduate,3,4,4,2,5,2
123,graduate,4,3,4,4,2,5
125,graduate,3,3,4,2,4,4
127,graduate,4,4,4,3,3,4
129,undergraduate,3,4,4,2,3,3
131,undergraduate,5,4,5,5,3,5
137,undergraduate,4,4,4,4,2,4
143,graduate,4,3,4,3,2,4
154,graduate,3,4,4,2,2,4
156,graduate,4,3,4,2,2,4
166,graduate,5,4,5,3,2,5
170,graduate,3,4,4,2,3,4
172,high_school,2,3,4,2,3,2
180,graduate,2,3,4,2,1,2
188,high_school,2,4,4,2,3,2
214,high_school,3,4,4,2,2,3
214,high_school,4,3,4,2,2,4
215,high_school,3,4,4,2,3,1
215,high_school,2,4,4,1,3,2
219,high_school,5,4,5,4,2,5
221,high_school,3,3,3,3,2,4
228,undergraduate,3,4,4,2,3,4
229,undergraduate,4,3,4,3,4,3
237,undergraduate,3,4,4,2,2,3
239,graduate,4,3,4,5,2,4
241,graduate,4,3,4,4,2,4
242,graduate,4,3,4,4,2,5
244,graduate,4,3,4,4,2,4
246,graduate,3,4,4,2,3,4
250,graduate,4,3,4,4,2,4
251,graduate,3,4,4,2,2,4
254,graduate,3,4,4,3,2,4
265,undergraduate,3,4,4,2,3,3
268,undergraduate,4,3,3,3,2,4
269,undergraduate,4,3,4,5,2,4
278,undergraduate,4,3,4,3,2,4
285,undergraduate,4,3,4,2,3,4
288,high_school,4,3,4,4,2,4
289,high_school,2,4,4,2,4,3
293,undergraduate,2,3,4,2,1,2
849,graduate,3,4,4,3,2,4
855,undergraduate,5,4,4,5,2,5
861,undergraduate,3,4,4,3,2,3
863,graduate,4,3,4,3,2,4
877,undergraduate,3,3,4,2,2,4
