source,metric,n,mean,median,iqr,q25,q75
crowd,accomplishment,55,3.8182,4.0,2.0,3.0,5.0
crowd,effort_required,55,4.4182,5.0,1.0,4.0,5.0
crowd,mental_demand,55,4.4364,5.0,1.0,4.0,5.0
crowd,perceived_controllability,55,3.7455,4.0,2.0,3.0,5.0
crowd,temporal_demand,55,3.7091,4.0,2.0,3.0,5.0
crowd,trust,55,3.6545,4.0,2.0,3.0,5.0
llama_run1,accomplishment,55,3.4,4.0,1.0,3.0,4.0
llama_run1,effort_required,55,3.2727,3.0,1.0,3.0,4.0
llama_run1,mental_demand,55,3.8,4.0,0.0,4.0,4.0
llama_run1,perceived_controllability,55,3.2364,3.0,2.0,2.0,4.0
llama_run1,temporal_demand,55,2.1636,2.0,0.0,2.0,2.0
llama_run1,trust,55,3.8182,4.0,2.0,3.0,5.0
llama_run2,accomplishment,55,3.5091,4.0,1.0,3.0,4.0
llama_run2,effort_required,55,3.3273,3.0,1.0,3.0,4.0
llama_run2,mental_demand,55,3.9273,4.0,0.0,4.0,4.0
llama_run2,perceived_controllability,55,3.0727,3.0,2.0,2.0,4.0
llama_run2,temporal_demand,55,2.2364,2.0,0.0,2.0,2.0
llama_run2,trust,55,3.7455,4.0,1.0,3.0,4.0
llama_run3,accomplishment,55,3.5273,4.0,1.0,3.0,4.0
llama_run3,effort_required,55,3.4545,3.0,1.0,3.0,4.0
llama_run3,mental_demand,55,4.0182,4.0,0.0,4.0,4.0
llama_run3,perceived_controllability,55,2.9091,3.0,2.0,2.0,4.0
llama_run3,temporal_demand,55,2.3636,2.0,1.0,2.0,3.0
llama_run3,trust,55,3.7091,4.0,1.0,3.0,4.0
llama_run4,accomplishment,55,3.4727,4.0,1.0,3.0,4.0
llama_run4,effort_required,55,3.3818,3.0,1.0,3.0,4.0
llama_run4,mental_demand,55,3.8909,4.0,0.0,4.0,4.0
llama_run4,perceived_controllability,55,3.0364,3.0,2.0,2.0,4.0
llama_run4,temporal_demand,55,2.4727,2.0,1.0,2.0,3.0
llama_run4,trust,55,3.6909,4.0,1.5,3.0,4.5
llama_run5,accomplishment,55,3.4727,4.0,1.0,3.0,4.0
llama_run5,effort_required,55,3.4364,3.0,1.0,3.0,4.0
llama_run5,mental_demand,55,3.9455,4.0,0.0,4.0,4.0
llama_run5,perceived_controllability,55,3.1273,3.0,2.0,2.0,4.0
llama_run5,temporal_demand,55,2.3636,2.0,1.0,2.0,3.0
llama_run5,trust,55,3.7455,4.0,1.0,3.0,4.0
llama_med,accomplishment,55,3.4182,4.0,1.0,3.0,4.0
llama_med,effort_required,55,3.4,3.0,1.0,3.0,4.0
llama_med,mental_demand,55,3.9545,4.0,0.0,4.0,4.0
llama_med,perceived_controllability,55,3.0455,3.0,2.0,2.0,4.0
llama_med,temporal_demand,55,2.2818,2.0,0.75,2.0,2.75
llama_med,trust,55,3.7273,4.0,1.0,3.0,4.0
mistral_run1,accomplishment,55,3.6182,4.0,1.0,3.0,4.0
mistral_run1,effort_required,55,3.5818,4.0,1.0,3.0,4.0
mistral_run1,mental_demand,55,4.0182,4.0,0.0,4.0,4.0
mistral_run1,perceived_controllability,55,3.0364,3.0,1.5,2.5,4.0
mistral_run1,temporal_demand,55,2.6909,3.0,1.0,2.0,3.0
mistral_run1,trust,55,3.4364,4.0,2.0,2.0,4.0
mistral_run2,accomplishment,55,3.5091,4.0,1.0,3.0,4.0
mistral_run2,effort_required,55,3.4364,3.0,1.0,3.0,4.0
mistral_run2,mental_demand,55,4.0182,4.0,0.0,4.0,4.0
mistral_run2,perceived_controllability,55,3.1091,3.0,1.0,3.0,4.0
mistral_run2,temporal_demand,55,2.6545,3.0,1.0,2.0,3.0
mistral_run2,trust,55,3.4364,4.0,1.5,2.5,4.0
mistral_run3,accomplishment,55,3.6,4.0,1.0,3.0,4.0
mistral_run3,effort_required,55,3.5273,4.0,1.0,3.0,4.0
mistral_run3,mental_demand,55,4.0,4.0,0.0,4.0,4.0
mistral_run3,perceived_controllability,55,3.0727,3.0,1.0,3.0,4.0
mistral_run3,temporal_demand,55,2.6182,3.0,1.0,2.0,3.0
mistral_run3,trust,55,3.4545,4.0,2.0,2.0,4.0
mistral_run4,accomplishment,55,3.5091,4.0,1.0,3.0,4.0
mistral_run4,effort_required,55,3.4909,3.0,1.0,3.0,4.0
mistral_run4,mental_demand,55,4.0182,4.0,0.0,4.0,4.0
mistral_run4,perceived_controllability,55,3.0,3.0,0.0,3.0,3.0
mistral_run4,temporal_demand,55,2.5636,3.0,1.0,2.0,3.0
mistral_run4,trust,55,3.3636,4.0,1.5,2.5,4.0
mistral_run5,accomplishment,55,3.5455,4.0,1.0,3.0,4.0
mistral_run5,effort_required,55,3.6,4.0,1.0,3.0,4.0
mistral_run5,mental_demand,55,4.0182,4.0,0.0,4.0,4.0
mistral_run5,perceived_controllability,55,3.1091,3.0,1.0,3.0,4.0
mistral_run5,temporal_demand,55,2.7455,3.0,0.5,2.5,3.0
mistral_run5,trust,55,3.5091,4.0,1.0,3.0,4.0
mistral_med,accomplishment,55,3.5818,4.0,1.0,3.0,4.0
mistral_med,effort_required,55,3.5636,4.0,1.0,3.0,4.0
mistral_med,mental_demand,55,4.0182,4.0,0.0,4.0,4.0
mistral_med,perceived_controllability,55,3.0182,3.0,0.5,3.0,3.5
mistral_med,temporal_demand,55,2.6727,3.0,1.0,2.0,3.0
mistral_med,trust,55,3.4727,4.0,1.5,2.5,4.0
gpt_run1,accomplishment,55,3.5273,4.0,3.0,2.0,5.0
gpt_run1,effort_required,55,3.6,4.0,1.0,3.0,4.0
gpt_run1,mental_demand,55,3.5818,4.0,1.0,3.0,4.0
gpt_run1,perceived_controllability,55,3.0182,3.0,2.0,2.0,4.0
gpt_run1,temporal_demand,55,2.2,2.0,0.0,2.0,2.0
gpt_run1,trust,55,3.1818,3.0,1.5,2.5,4.0
gpt_run2,accomplishment,55,3.4727,4.0,3.0,2.0,5.0
gpt_run2,effort_required,55,3.5091,4.0,1.0,3.0,4.0
gpt_run2,mental_demand,55,3.5455,4.0,1.0,3.0,4.0
gpt_run2,perceived_controllability,55,3.0182,3.0,1.0,2.5,3.5
gpt_run2,temporal_demand,55,2.2182,2.0,0.0,2.0,2.0
gpt_run2,trust,55,3.2,3.0,1.0,3.0,4.0
gpt_run3,accomplishment,55,3.5091,4.0,2.0,2.0,4.0
