session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
2224,37,undergraduate,4,3,4,3,2,4
2260,38,graduate,5,3,4,4,2,5
2295,40,graduate,5,4,4,4,2,5
2330,41,graduate,4,3,4,4,2,5
697,45,undergraduate,5,3,4,4,2,5
2369,47,undergraduate,4,3,4,4,2,4
2388,50,undergraduate,5,3,4,4,2,5
2406,55,undergraduate,5,3,4,4,2,5
2420,59,undergraduate,5,4,4,4,3,5
2438,67,undergraduate,4,3,4,4,2,4
2464,73,undergraduate,4,3,4,4,2,4
2481,123,graduate,5,3,4,4,2,5
2498,125,graduate,4,3,4,3,2,4
2511,127,graduate,5,3,4,4,2,5
2536,129,undergraduate,5,4,4,3,2,5
2557,131,undergraduate,4,3,4,4,2,4
2574,137,undergraduate,5,3,4,4,2,5
2599,143,graduate,4,3,4,4,2,5
2616,153,graduate,5,3,4,4,2,5
2637,154,graduate,5,3,4,4,2,5
2658,156,graduate,4,3,4,3,2,4
2679,166,graduate,5,4,4,4,3,5
2696,170,graduate,5,4,4,4,3,5
2705,172,high_school,4,3,4,3,2,4
2726,180,graduate,4,3,4,4,2,5
2743,188,high_school,4,3,4,4,2,4
2760,198,high_school,5,4,4,3,2,4
2769,214,high_school,5,4,3,4,2,4
2790,215,high_school,4,3,4,4,2,4
2807,219,high_school,4,3,4,3,2,4
2820,221,high_school,4,3,4,3,2,4
2833,228,undergraduate,5,4,4,4,3,5
2850,229,undergraduate,4,3,4,3,2,4
2871,237,undergraduate,5,3,4,4,2,5
2888,239,graduate,5,3,4,4,2,5
2897,241,graduate,4,3,4,3,2,4
2910,242,graduate,3,4,4,3,2,4
2923,244,graduate,5,3,4,4,2,5
2940,246,graduate,5,4,4,4,3,5
2953,250,graduate,5,4,4,4,3,5
2966,251,graduate,4,3,4,4,2,5
2983,254,graduate,4,3,4,3,2,4
2992,265,undergraduate,5,3,4,4,2,4
3005,268,undergraduate,4,3,4,3,2,4
3022,269,undergraduate,5,4,4,4,2,5
3031,278,undergraduate,5,3,4,4,2,5
3040,285,undergraduate,5,4,4,4,2,5
3045,288,high_school,4,3,4,3,2,4
3054,289,high_school,4,3,4,3,2,4
3063,293,undergraduate,4,3,4,4,2,4
3074,849,graduate,4,3,4,4,2,5
3083,855,undergraduate,5,4,4,4,3,5
3088,861,undergraduate,4,3,4,4,2,4
3097,863,graduate,5,3,4,4,2,5
3106,877,undergraduate,5,3,4,4,2,5
