session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
885,37,undergraduate,4,3,4,3,2,4
925,38,graduate,5,4,4,4,3,5
935,40,graduate,5,4,4,4,3,5
965,41,graduate,5,4,4,4,3,5
994,45,undergraduate,5,3,4,4,2,5
1019,47,undergraduate,4,3,4,3,2,4
1044,50,undergraduate,3,4,4,3,2,4
1074,55,undergraduate,5,3,4,4,2,5
1104,59,undergraduate,4,3,4,3,2,4
1139,67,undergraduate,4,3,4,3,2,4
1164,73,undergraduate,5,3,4,4,2,5
1194,123,graduate,4,3,4,3,2,4
1209,125,graduate,5,4,4,4,3,5
1244,127,graduate,5,3,4,4,2,5
1259,129,undergraduate,4,3,4,4,2,4
1284,131,undergraduate,3,4,4,3,2,4
1314,137,undergraduate,5,4,4,4,2,5
1339,143,graduate,5,4,4,4,3,5
1364,153,graduate,5,3,4,4,2,5
1394,154,graduate,5,3,4,4,2,5
1414,156,graduate,4,3,4,4,2,5
1444,166,graduate,4,3,4,4,2,5
1469,170,graduate,5,4,4,4,3,5
1494,172,high_school,4,3,4,3,2,4
1524,180,graduate,4,3,4,3,2,4
1544,188,high_school,5,4,4,3,2,4
1574,198,high_school,4,3,4,3,2,4
1599,214,high_school,4,3,4,3,2,4
1987,215,high_school,4,3,4,3,2,4
1625,219,high_school,4,3,4,3,2,4
1645,221,high_school,4,3,4,3,2,4
1675,228,undergraduate,4,3,4,3,2,4
1700,229,undergraduate,4,3,4,3,2,4
1725,237,undergraduate,4,3,4,3,2,4
1755,239,graduate,5,3,4,4,2,5
1775,241,graduate,5,4,4,4,3,5
1805,242,graduate,5,4,4,4,3,5
1835,244,graduate,4,3,4,4,2,4
2022,246,graduate,5,4,4,4,3,5
2043,250,graduate,5,4,4,4,2,5
2078,251,graduate,5,4,4,3,2,5
2113,254,graduate,5,4,4,4,3,5
2139,265,undergraduate,4,3,4,3,2,4
2174,268,undergraduate,5,3,4,4,2,5
2200,269,undergraduate,5,3,4,4,2,5
2218,278,undergraduate,4,3,4,4,2,4
2240,285,undergraduate,5,3,4,4,2,5
2267,288,high_school,4,3,4,4,2,4
2289,289,high_school,5,4,4,3,2,4
2315,293,undergraduate,5,3,4,4,2,5
2001,849,graduate,5,4,4,3,2,5
2039,855,undergraduate,5,3,4,4,2,5
2074,861,undergraduate,5,3,4,4,2,4
2109,863,graduate,5,3,4,4,2,5
2152,877,undergraduate,5,3,4,4,2,5
