session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
897,37,undergraduate,5,4,4,3,2,4
917,38,graduate,5,3,4,4,2,5
947,40,graduate,5,4,4,4,2,5
977,41,graduate,5,3,4,4,2,5
1006,45,undergraduate,5,3,4,4,2,5
1036,47,undergraduate,4,3,4,3,2,4
1051,50,undergraduate,4,3,4,3,2,4
1091,55,undergraduate,4,3,4,3,2,4
1101,59,undergraduate,4,3,4,4,2,4
1131,67,undergraduate,4,3,4,3,2,4
1161,73,undergraduate,5,4,4,4,3,5
1181,123,graduate,5,3,4,4,2,5
1216,125,graduate,5,3,4,4,2,5
1251,127,graduate,5,4,4,3,2,5
1266,129,undergraduate,4,3,4,3,2,4
1301,131,undergraduate,5,3,4,4,2,5
1331,137,undergraduate,5,4,4,4,3,5
1346,143,graduate,4,3,4,4,2,5
1381,153,graduate,5,4,4,4,3,5
1411,154,graduate,5,3,4,4,2,5
1431,156,graduate,5,4,4,4,3,5
1461,166,graduate,4,3,4,3,2,4
1486,170,graduate,5,4,4,4,2,5
1511,172,high_school,4,3,4,3,2,4
1541,180,graduate,5,3,4,4,2,5
1566,188,high_school,4,3,4,3,2,4
1591,198,high_school,4,3,4,3,2,4
1844,214,high_school,4,3,4,3,2,4
1622,215,high_school,4,3,4,3,2,4
1642,219,high_school,4,3,4,3,2,4
1667,221,high_school,4,3,4,3,2,4
1692,228,undergraduate,4,3,4,4,2,4
1722,229,undergraduate,5,3,4,4,2,5
1747,237,undergraduate,5,3,4,4,2,5
1772,239,graduate,5,3,4,4,2,5
1802,241,graduate,5,3,4,4,2,5
1827,242,graduate,5,3,4,4,2,5
1848,244,graduate,4,3,4,4,2,5
1870,246,graduate,5,4,4,4,3,5
1893,250,graduate,5,4,4,4,3,5
1920,251,graduate,4,3,4,3,2,4
1937,254,graduate,5,4,4,4,3,5
1964,265,undergraduate,4,3,4,3,2,4
1977,268,undergraduate,5,3,4,4,2,5
1993,269,undergraduate,5,3,4,4,2,5
2028,278,undergraduate,5,3,4,4,2,5
2071,285,undergraduate,4,3,4,3,2,4
2093,288,high_school,5,4,4,4,3,5
2119,289,high_school,4,3,4,3,2,4
2145,293,undergraduate,5,4,4,4,3,5
1857,849,graduate,4,3,4,3,2,4
1884,855,undergraduate,5,4,4,3,2,5
1906,861,undergraduate,5,3,4,4,2,5
1933,863,graduate,5,3,4,4,2,5
1951,877,undergraduate,4,3,4,4,2,4
