session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
2191,37,undergraduate,5,3,4,4,2,5
2213,38,graduate,5,3,4,4,2,5
2249,40,graduate,5,3,4,4,2,5
2284,41,graduate,5,3,4,4,2,5
2433,45,undergraduate,5,4,4,3,2,5
2442,47,undergraduate,5,4,4,4,3,5
2459,50,undergraduate,5,4,4,4,3,5
2476,55,undergraduate,5,4,4,4,3,5
2485,59,undergraduate,4,3,4,3,2,4
2502,67,undergraduate,4,3,4,3,2,4
2515,73,undergraduate,5,4,4,4,3,5
2531,123,graduate,5,3,4,4,2,5
2548,125,graduate,5,4,4,4,3,5
2561,127,graduate,5,4,4,4,3,5
2578,129,undergraduate,5,3,4,4,2,5
2590,131,undergraduate,4,3,4,3,2,4
2607,137,undergraduate,4,3,4,3,2,4
2624,143,graduate,5,4,4,4,2,5
2641,153,graduate,4,3,4,4,2,5
2653,154,graduate,5,3,4,4,2,5
2670,156,graduate,4,3,4,3,2,4
2683,166,graduate,4,3,4,4,2,5
2700,170,graduate,5,3,4,4,2,5
2709,172,high_school,4,3,4,3,2,4
2721,180,graduate,4,3,4,3,2,4
2738,188,high_school,3,4,4,3,2,4
2747,198,high_school,4,3,4,3,2,4
2764,214,high_school,4,3,4,3,2,4
2777,215,high_school,4,3,4,3,2,4
2785,219,high_school,5,4,4,3,2,4
2798,221,high_school,4,3,4,3,2,4
2811,228,undergraduate,5,3,4,4,2,5
2828,229,undergraduate,5,3,4,4,2,5
2841,237,undergraduate,4,3,4,4,2,4
2854,239,graduate,4,3,4,3,2,4
2866,241,graduate,5,4,4,4,3,5
2879,242,graduate,4,3,4,4,2,5
2892,244,graduate,5,3,4,4,2,5
2901,246,graduate,5,3,4,4,2,5
2914,250,graduate,4,3,4,4,2,5
2927,251,graduate,5,4,4,3,2,5
2935,254,graduate,4,3,4,3,2,4
2944,265,undergraduate,5,3,4,4,2,5
2957,268,undergraduate,4,3,4,3,2,4
2970,269,undergraduate,4,3,4,3,2,4
2974,278,undergraduate,4,3,4,3,2,4
2987,285,undergraduate,4,3,4,3,2,4
3000,288,high_school,4,3,4,3,2,4
3009,289,high_school,4,3,4,3,2,4
3017,293,undergraduate,5,3,4,4,2,5
2319,849,graduate,5,4,4,4,3,5
2346,855,undergraduate,5,4,4,4,3,5
2365,861,undergraduate,5,4,4,4,3,5
2383,863,graduate,4,3,4,4,2,5
2411,877,undergraduate,4,3,4,4,2,4
