session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
889,37,undergraduate,4,3,4,4,2,4
919,38,graduate,5,3,4,4,2,5
939,40,graduate,5,4,4,4,3,5
969,41,graduate,4,3,4,4,2,5
1008,45,undergraduate,4,3,4,3,2,4
1038,47,undergraduate,5,4,4,4,3,5
1058,50,undergraduate,5,3,4,4,2,4
1083,55,undergraduate,4,3,4,3,2,4
1093,59,undergraduate,5,3,4,4,2,5
1123,67,undergraduate,4,3,4,3,2,4
1153,73,undergraduate,5,3,4,4,2,5
1173,123,graduate,5,3,4,4,2,5
1203,125,graduate,5,3,4,4,2,5
1233,127,graduate,5,3,4,4,2,5
1253,129,undergraduate,5,3,4,4,2,5
1288,131,undergraduate,4,3,4,3,2,4
1318,137,undergraduate,5,3,4,4,2,5
1348,143,graduate,4,3,4,4,2,5
1373,153,graduate,5,3,4,4,2,5
1403,154,graduate,5,3,4,4,2,5
1423,156,graduate,5,3,4,4,2,5
1448,166,graduate,5,4,4,4,3,5
1473,170,graduate,5,3,4,4,2,5
1498,172,high_school,3,4,4,3,2,3
1528,180,graduate,5,4,4,4,3,5
1548,188,high_school,4,3,4,3,2,4
1578,198,high_school,5,3,4,4,2,5
1608,214,high_school,4,3,4,3,2,4
2004,215,high_school,4,3,4,3,2,4
1634,219,high_school,4,3,4,3,2,4
1659,221,high_school,4,3,4,3,2,4
1684,228,undergraduate,4,3,4,4,2,5
1714,229,undergraduate,3,4,4,3,2,4
1734,237,undergraduate,4,3,4,3,2,4
1764,239,graduate,4,3,4,4,2,5
1789,241,graduate,4,3,4,3,2,4
1814,242,graduate,4,3,4,4,2,5
1839,244,graduate,5,4,4,4,3,5
2033,246,graduate,5,3,4,4,2,5
2064,250,graduate,3,4,4,3,2,4
2094,251,graduate,5,3,4,4,2,5
2129,254,graduate,4,3,4,3,2,4
2164,265,undergraduate,5,3,4,4,2,5
2186,268,undergraduate,5,3,4,4,2,5
2208,269,undergraduate,4,3,4,4,2,4
2226,278,undergraduate,5,4,4,3,2,4
2253,285,undergraduate,5,4,4,4,3,5
2274,288,high_school,5,4,4,4,3,5
2302,289,high_school,4,3,4,3,2,4
2323,293,undergraduate,5,3,4,4,2,5
2013,849,graduate,4,3,4,4,2,5
2047,855,undergraduate,3,4,4,3,2,4
2082,861,undergraduate,5,4,4,4,3,5
2134,863,graduate,5,3,4,4,2,5
2169,877,undergraduate,5,3,4,4,2,4
