session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
901,37,undergraduate,5,3,4,4,2,5
931,38,graduate,5,3,4,4,2,5
951,40,graduate,5,3,4,4,2,5
981,41,graduate,4,3,4,4,2,5
1000,45,undergraduate,4,3,4,4,2,4
1030,47,undergraduate,4,3,4,4,2,5
1055,50,undergraduate,4,3,4,3,2,4
1080,55,undergraduate,5,4,4,4,3,5
1115,59,undergraduate,4,3,4,4,2,4
1135,67,undergraduate,4,3,4,3,2,4
1170,73,undergraduate,5,3,4,4,2,5
1185,123,graduate,5,4,4,4,3,5
1220,125,graduate,4,3,4,3,2,4
1240,127,graduate,5,4,4,4,3,5
1270,129,undergraduate,5,3,4,4,2,5
1295,131,undergraduate,5,3,4,4,2,5
1325,137,undergraduate,5,4,4,4,3,5
1335,143,graduate,4,3,4,4,2,5
1370,153,graduate,5,3,4,4,2,5
1390,154,graduate,5,3,4,4,2,5
1420,156,graduate,4,3,4,4,2,5
1455,166,graduate,5,3,4,4,2,5
1480,170,graduate,4,3,4,4,2,5
1505,172,high_school,5,4,4,3,2,4
1535,180,graduate,5,4,4,4,3,5
1560,188,high_school,4,3,4,3,2,4
1585,198,high_school,4,3,4,3,2,4
1614,214,high_school,4,3,4,3,2,4
1851,215,high_school,4,3,4,3,2,4
1631,219,high_school,4,3,4,3,2,4
1656,221,high_school,4,3,4,3,2,4
1681,228,undergraduate,5,3,4,4,2,5
1711,229,undergraduate,4,3,4,3,2,4
1731,237,undergraduate,4,3,4,3,2,4
1761,239,graduate,5,4,4,4,3,5
1796,241,graduate,5,4,4,4,2,5
1821,242,graduate,5,3,4,4,2,5
1878,244,graduate,5,4,4,4,3,5
1900,246,graduate,5,4,4,4,3,5
1923,250,graduate,4,3,4,3,2,4
1940,251,graduate,5,3,4,4,2,5
1967,254,graduate,5,3,4,4,2,5
1980,265,undergraduate,4,3,4,3,2,4
2010,268,undergraduate,4,3,4,4,2,4
2031,269,undergraduate,5,4,4,4,3,5
2062,278,undergraduate,5,3,4,4,2,5
2088,285,undergraduate,5,3,4,4,2,5
2122,288,high_school,4,3,4,3,2,4
2148,289,high_school,4,3,4,3,2,4
2179,293,undergraduate,5,3,4,4,2,4
1861,849,graduate,4,3,4,3,2,4
1888,855,undergraduate,5,3,4,4,2,5
1910,861,undergraduate,5,4,4,3,2,4
1945,863,graduate,4,3,4,4,2,5
1972,877,undergraduate,5,4,4,4,3,5
