session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
905,37,undergraduate,5,4,4,4,3,5
955,38,graduate,5,3,4,4,2,5
985,40,graduate,5,4,4,4,3,5
1015,41,graduate,4,3,4,4,2,5
1064,45,undergraduate,5,3,4,4,2,5
1109,47,undergraduate,4,3,4,4,2,4
1144,50,undergraduate,5,3,4,4,2,5
1189,55,undergraduate,4,3,4,3,2,4
1224,59,undergraduate,4,3,4,4,2,4
1279,67,undergraduate,5,3,4,4,2,4
1304,73,undergraduate,4,3,4,4,2,4
1359,123,graduate,4,3,4,4,2,5
1399,125,graduate,5,3,4,4,2,5
1439,127,graduate,5,4,4,4,3,5
1489,129,undergraduate,5,4,4,3,2,4
1519,131,undergraduate,5,3,4,4,2,5
1569,137,undergraduate,5,3,4,4,2,5
1604,143,graduate,4,3,4,3,2,4
2263,153,graduate,5,3,4,4,2,5
1670,154,graduate,5,3,4,4,2,5
1705,156,graduate,5,3,4,4,2,5
1750,166,graduate,5,4,4,4,2,5
1785,170,graduate,5,3,4,4,2,5
1830,172,high_school,4,3,4,3,2,4
2307,180,graduate,5,3,4,4,2,5
2338,188,high_school,5,4,4,4,3,5
2356,198,high_school,5,4,3,4,2,5
2379,214,high_school,4,3,4,3,2,4
2402,215,high_school,4,3,4,3,2,4
2425,219,high_school,4,3,4,4,2,4
2451,221,high_school,4,3,4,3,2,4
2473,228,undergraduate,4,3,4,3,2,4
2494,229,undergraduate,5,3,4,4,2,4
2524,237,undergraduate,4,3,4,4,2,4
2545,239,graduate,5,3,4,4,2,5
2570,241,graduate,5,3,4,4,2,5
2595,242,graduate,5,3,4,4,2,5
2621,244,graduate,5,4,4,4,3,5
2646,246,graduate,5,4,4,4,2,5
2667,250,graduate,5,4,4,4,3,5
2688,251,graduate,4,3,4,3,2,4
2714,254,graduate,5,4,4,4,3,5
2731,265,undergraduate,5,3,4,4,2,5
2752,268,undergraduate,5,3,4,4,2,5
2774,269,undergraduate,5,4,4,3,2,4
2795,278,undergraduate,5,3,4,4,2,5
2816,285,undergraduate,5,3,4,4,2,5
2838,288,high_school,5,3,4,4,2,4
2859,289,high_school,4,3,4,3,2,4
2876,293,undergraduate,4,3,4,3,2,4
2100,849,graduate,5,4,4,4,3,5
2157,855,undergraduate,5,3,4,4,2,4
2205,861,undergraduate,5,4,4,4,3,5
2245,863,graduate,5,4,4,4,3,5
2299,877,undergraduate,5,3,4,4,2,5
