session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
909,37,undergraduate,5,3,4,4,2,5
959,38,graduate,5,3,4,4,2,5
989,40,graduate,5,3,4,4,2,5
1024,41,graduate,5,4,4,4,3,5
1068,45,undergraduate,5,3,4,4,2,5
1118,47,undergraduate,5,3,4,4,2,5
1148,50,undergraduate,5,4,4,4,2,5
1198,55,undergraduate,5,3,4,4,2,5
1228,59,undergraduate,5,3,4,4,2,5
1273,67,undergraduate,5,3,4,4,2,5
1308,73,undergraduate,5,3,4,4,2,5
1353,123,graduate,5,3,4,4,2,5
1383,125,graduate,5,4,4,3,2,4
1433,127,graduate,5,4,4,3,2,5
1463,129,undergraduate,5,4,4,3,2,4
1513,131,undergraduate,4,3,4,3,2,4
1553,137,undergraduate,5,3,4,4,2,5
1593,143,graduate,5,4,4,4,3,5
1863,153,graduate,5,3,4,4,2,5
1649,154,graduate,5,3,4,4,2,5
1694,156,graduate,5,3,4,4,2,5
1739,166,graduate,5,4,4,3,2,5
1779,170,graduate,4,3,4,3,2,4
1809,172,high_school,5,3,4,4,2,4
1894,180,graduate,5,3,4,4,2,5
1925,188,high_school,5,4,4,3,2,4
1952,198,high_school,4,3,4,3,2,4
1982,214,high_school,4,3,4,3,2,4
2017,215,high_school,5,3,4,4,2,4
2056,219,high_school,5,3,4,4,2,5
2103,221,high_school,4,3,4,3,2,4
2160,228,undergraduate,5,4,4,4,3,5
2195,229,undergraduate,4,3,4,3,2,4
2230,237,undergraduate,5,3,4,4,2,5
2270,239,graduate,5,3,4,4,2,5
2310,241,graduate,5,3,4,4,2,5
2341,242,graduate,5,3,4,4,2,5
2374,244,graduate,5,3,4,4,2,5
2397,246,graduate,4,3,4,3,2,4
2415,250,graduate,5,3,4,4,2,5
2446,251,graduate,5,4,4,4,3,5
2468,254,graduate,5,4,4,4,3,5
2489,265,undergraduate,5,3,4,4,2,4
2519,268,undergraduate,5,3,4,4,2,5
2540,269,undergraduate,5,4,4,4,3,5
2565,278,undergraduate,5,4,4,4,3,5
2586,285,undergraduate,5,3,4,4,2,5
2611,288,high_school,4,3,4,3,2,4
2632,289,high_school,5,4,4,3,2,4
2662,293,undergraduate,5,4,4,3,2,4
1872,849,graduate,5,3,4,4,2,5
1913,855,undergraduate,5,3,4,4,2,5
1957,861,undergraduate,4,3,4,3,2,4
1995,863,graduate,5,3,4,4,2,5
2052,877,undergraduate,5,3,4,4,2,5
