persona_id,Q1_Accomplishment,Q2_Effort,Q3_Mental_Demand,Q4_Controllability,Q5_Temporal_Demand,Q6_Satisfaction,Current_Job_Role
0,3.6,2.0,2.0,3.2,1.0,3.6,College Teacher
1,3.4,2.2,2.2,3.0,1.4,3.2,College Teacher
2,3.4,2.0,2.2,2.6,1.0,3.2,High School Teacher
3,3.4,2.0,2.0,2.8,1.0,3.4,College Teacher
4,3.4,2.4,2.4,2.8,1.4,3.4,High School Teacher
5,4.0,2.4,2.2,3.6,1.4,4.0,High School Teacher
6,3.4,2.0,2.4,3.0,1.0,3.4,High School Teacher
7,3.2,2.0,2.0,2.6,1.2,3.0,High School Teacher
8,3.0,2.0,2.0,2.6,1.0,3.0,College Teacher
9,3.6,2.2,2.2,2.8,1.2,3.2,High School Teacher
10,3.4,2.0,2.0,2.8,1.0,3.4,College Teacher
11,3.0,2.2,2.4,2.8,1.4,3.0,High School Teacher
12,3.6,2.0,2.0,3.4,1.0,3.6,College Teacher
13,3.6,1.8,2.0,3.2,1.0,3.4,College Teacher
14,4.0,2.0,2.0,3.6,1.0,3.8,High School Teacher
15,3.6,1.8,1.8,2.6,1.0,3.4,High School Teacher
16,3.6,2.0,2.0,2.8,1.2,3.2,College Teacher
17,3.6,2.0,2.0,3.0,1.2,3.4,High School Teacher
18,3.6,2.0,2.0,3.2,1.0,3.4,College Teacher
19,4.0,1.8,2.0,3.2,1.0,3.6,High School Teacher
20,3.6,2.4,2.0,3.2,1.2,3.6,College Teacher
21,3.2,2.0,2.0,2.8,1.0,3.0,High School Teacher
22,4.0,2.2,2.2,3.4,1.2,4.0,College Teacher
23,3.8,2.2,2.2,3.6,1.2,3.8,College Teacher
24,3.8,2.2,2.2,3.0,1.2,3.4,College Teacher
25,3.4,2.0,2.0,2.8,1.0,3.0,High School Teacher
26,3.2,2.0,2.0,2.6,1.0,3.0,College Teacher
27,3.4,2.2,2.2,3.2,1.4,3.4,College Teacher
28,3.4,2.4,2.0,2.8,1.0,3.4,College Teacher
29,3.8,2.0,2.0,3.4,1.0,3.8,College Teacher
30,3.8,2.0,2.0,2.8,1.2,3.8,College Teacher
31,3.8,2.2,2.2,3.0,1.2,3.6,High School Teacher
32,3.6,2.0,2.0,3.0,1.0,3.2,College Teacher
33,3.6,2.0,2.0,2.6,1.0,3.6,College Teacher
34,3.4,2.0,2.0,2.8,1.0,3.4,College Teacher
35,4.0,2.2,2.0,3.0,1.0,3.6,High School Teacher
36,3.2,2.6,2.2,3.0,1.6,3.2,High School Teacher
37,3.4,1.8,1.8,3.0,1.0,3.4,High School Teacher
38,3.6,2.2,2.2,2.8,1.0,3.4,College Teacher
39,3.6,2.2,2.2,3.0,1.2,3.6,College Teacher
40,3.8,2.4,2.2,3.2,1.4,3.6,College Teacher
41,3.4,2.2,2.2,2.6,1.0,3.2,High School Teacher
42,3.8,2.0,2.0,2.8,1.0,3.4,High School Teacher
43,3.6,2.0,2.0,2.8,1.0,3.4,College Teacher
44,3.6,2.0,2.0,2.8,1.0,3.4,High School Teacher
45,3.6,2.2,2.2,3.0,1.2,3.6,College Teacher
46,3.2,2.0,2.0,2.8,1.0,2.8,College Teacher
47,3.6,1.8,2.0,3.2,1.2,3.6,High School Teacher
48,3.2,2.4,2.2,3.0,1.2,3.2,College Teacher
49,3.4,2.2,2.2,2.8,1.4,3.2,College Teacher
50,3.8,2.0,2.0,3.0,1.0,3.6,High School Teacher
51,3.2,2.4,2.0,2.6,1.4,3.2,High School Teacher
52,3.8,2.0,2.2,3.0,1.0,3.4,College Teacher
53,3.2,2.0,2.0,2.8,1.2,3.2,High School Teacher
54,3.6,2.2,2.0,2.8,1.6,3.4,High School Teacher
55,3.6,2.2,2.2,3.4,1.2,3.6,College Teacher
56,3.6,2.2,2.2,3.2,1.4,3.6,College Teacher
57,4.0,2.6,2.8,3.0,1.6,4.0,College Teacher
58,3.6,2.2,2.4,2.8,1.2,3.6,High School Teacher
59,4.0,1.6,2.0,3.4,1.0,3.8,College Teacher
60,3.6,2.2,2.0,2.6,1.0,3.4,College Teacher
61,4.0,2.0,2.0,3.4,1.0,4.0,High School Teacher
62,3.2,2.6,2.2,2.8,1.4,3.2,High School Teacher
63,3.6,2.4,2.4,3.0,1.4,3.6,College Teacher
64,3.2,2.0,2.0,2.8,1.0,3.2,College Teacher
