persona_id,Q1_Accomplishment,Q2_Effort,Q3_Mental_Demand,Q4_Controllability,Q5_Temporal_Demand,Q6_Satisfaction,Current_Job_Role
0,4.0,3.0,2.0,3.0,3.0,3.0,College Teacher
1,3.0,3.0,3.0,3.0,5.0,3.0,College Teacher
2,3.0,3.0,3.0,3.0,4.0,3.0,High School Teacher
3,4.0,2.0,2.0,4.0,1.0,3.0,College Teacher
4,3.0,3.0,3.0,3.0,3.0,3.0,High School Teacher
5,3.0,3.0,2.0,4.0,3.0,3.0,High School Teacher
6,3.0,4.0,3.0,3.0,5.0,3.0,High School Teacher
7,3.0,2.0,3.0,3.0,3.0,3.0,High School Teacher
8,3.0,3.0,2.0,3.0,4.0,3.0,College Teacher
9,4.0,2.0,2.0,3.0,5.0,3.0,High School Teacher
10,4.0,2.0,2.0,5.0,1.0,4.0,College Teacher
11,3.0,2.0,1.0,4.0,5.0,3.0,High School Teacher
12,3.0,3.0,3.0,3.0,5.0,3.0,College Teacher
13,4.0,2.0,2.0,4.0,5.0,4.0,College Teacher
14,4.0,3.0,3.0,3.0,3.0,3.0,High School Teacher
15,4.0,3.0,2.0,4.0,3.0,4.0,High School Teacher
16,3.0,3.0,3.0,3.0,3.0,3.0,College Teacher
17,3.0,3.0,2.0,3.0,3.0,4.0,High School Teacher
18,3.0,3.0,3.0,4.0,3.0,3.0,College Teacher
19,4.0,3.0,2.0,5.0,2.0,4.0,High School Teacher
20,3.0,3.0,2.0,3.0,2.0,3.0,College Teacher
21,4.0,3.0,2.0,5.0,1.0,3.0,High School Teacher
22,4.0,3.0,2.0,4.0,3.0,3.0,College Teacher
23,3.0,3.0,3.0,3.0,3.0,3.0,College Teacher
24,3.0,2.0,3.0,3.0,4.0,3.0,College Teacher
25,3.0,2.0,1.0,3.0,4.0,3.0,High School Teacher
26,3.0,2.0,2.0,3.0,3.0,3.0,College Teacher
27,3.0,3.0,1.0,3.0,5.0,3.0,College Teacher
28,4.0,3.0,3.0,3.0,3.0,4.0,College Teacher
29,3.0,3.0,2.0,3.0,5.0,3.0,College Teacher
30,3.0,2.0,2.0,3.0,5.0,3.0,College Teacher
31,3.0,3.0,2.0,4.0,3.0,3.0,High School Teacher
32,2.0,3.0,1.0,4.0,5.0,2.0,College Teacher
33,3.0,3.0,3.0,3.0,3.0,3.0,College Teacher
34,3.0,3.0,3.0,3.0,3.0,3.0,College Teacher
35,3.0,2.0,1.0,3.0,5.0,3.0,High School Teacher
36,3.0,3.0,3.0,3.0,3.0,3.0,High School Teacher
37,3.0,3.0,2.0,3.0,3.0,3.0,High School Teacher
38,3.0,3.0,3.0,3.0,3.0,3.0,College Teacher
39,3.0,2.0,3.0,3.0,3.0,3.0,College Teacher
40,3.0,2.0,1.0,4.0,5.0,3.0,College Teacher
41,4.0,2.0,3.0,4.0,5.0,3.0,High School Teacher
42,4.0,2.0,3.0,3.0,5.0,3.0,High School Teacher
43,4.0,2.0,2.0,3.0,2.0,4.0,College Teacher
44,4.0,3.0,2.0,3.0,3.0,3.0,High School Teacher
45,3.0,2.0,1.0,4.0,5.0,4.0,College Teacher
46,3.0,3.0,3.0,3.0,3.0,3.0,College Teacher
47,4.0,2.0,2.0,4.0,1.0,3.0,High School Teacher
48,3.0,3.0,3.0,3.0,3.0,3.0,College Teacher
49,3.0,3.0,3.0,3.0,3.0,3.0,College Teacher
50,3.0,2.0,2.0,4.0,3.0,3.0,High School Teacher
51,4.0,3.0,3.0,3.0,3.0,4.0,High School Teacher
52,3.0,3.0,3.0,3.0,3.0,3.0,College Teacher
53,3.0,3.0,3.0,3.0,3.0,3.0,High School Teacher
54,3.0,3.0,3.0,3.0,3.0,3.0,High School Teacher
55,4.0,3.0,2.0,5.0,2.0,4.0,College Teacher
56,4.0,2.0,2.0,4.0,5.0,3.0,College Teacher
57,3.0,3.0,2.0,4.0,5.0,3.0,College Teacher
58,3.0,2.0,2.0,4.0,5.0,3.0,High School Teacher
59,3.0,3.0,3.0,3.0,3.0,3.0,College Teacher
60,4.0,3.0,2.0,4.0,5.0,4.0,College Teacher
61,4.0,3.0,2.0,4.0,5.0,4.0,High School Teacher
62,3.0,3.0,3.0,3.0,3.0,3.0,High School Teacher
63,3.0,2.0,3.0,4.0,5.0,3.0,College Teacher
64,4.0,3.0,2.0,4.0,3.0,3.0,College Teacher
