session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
37,undergraduate,4.0,3.0,4.0,4.0,2.0,5.0
38,graduate,4.0,3.0,4.0,3.0,2.0,4.0
40,graduate,4.0,3.0,4.0,4.0,3.0,4.0
41,graduate,4.0,3.0,4.0,3.0,2.0,4.0
45,undergraduate,4.0,3.0,4.0,4.0,3.0,5.0
47,undergraduate,4.0,3.0,4.0,3.0,2.0,4.0
50,undergraduate,3.0,4.0,4.0,2.0,4.0,3.0
55,undergraduate,4.0,3.0,4.0,4.0,2.0,4.0
59,undergraduate,4.0,3.0,4.0,5.0,2.0,4.0
67,undergraduate,2.0,3.0,4.0,2.0,2.0,2.0
73,undergraduate,3.0,4.0,4.0,2.0,3.0,3.0
123,graduate,4.0,3.0,4.0,4.0,2.0,5.0
125,graduate,3.0,4.0,4.0,3.0,2.0,4.0
127,graduate,4.0,4.0,4.0,3.0,3.0,4.0
129,undergraduate,3.0,4.0,4.0,2.0,3.0,3.0
131,undergraduate,4.0,3.0,4.0,4.0,2.0,4.0
137,undergraduate,4.0,3.0,4.0,4.0,2.0,4.0
143,graduate,4.0,3.0,4.0,3.0,2.0,4.0
153,graduate,3.0,4.0,4.0,4.0,2.0,4.0
154,graduate,3.0,3.5,4.0,2.0,1.5,4.0
156,graduate,4.0,3.0,4.0,4.0,2.0,4.0
166,graduate,5.0,3.0,4.0,3.0,2.0,4.0
170,graduate,4.0,3.0,4.0,4.0,2.0,4.0
172,high_school,2.0,3.0,4.0,2.0,3.0,2.0
180,graduate,2.0,4.0,4.0,3.0,2.0,3.0
188,high_school,2.0,3.5,3.5,1.0,3.0,2.0
198,high_school,2.0,3.0,4.0,1.0,2.0,2.0
214,high_school,3.0,4.0,4.0,2.0,2.0,4.0
215,high_school,2.0,4.0,4.0,1.5,3.0,2.0
219,high_school,5.0,4.0,4.0,5.0,2.0,5.0
221,high_school,4.0,3.0,3.0,3.0,2.0,4.0
228,undergraduate,4.0,3.0,4.0,3.0,2.0,4.0
229,undergraduate,3.0,4.0,4.0,2.0,3.5,3.0
237,undergraduate,2.0,4.0,3.0,2.0,2.0,2.0
239,graduate,4.0,3.0,4.0,4.0,2.0,5.0
241,graduate,4.0,3.0,4.0,4.0,2.0,4.0
242,graduate,4.0,3.0,4.0,4.0,2.0,4.0
244,graduate,4.0,3.0,4.0,4.0,2.0,4.0
246,graduate,3.0,4.0,4.0,2.0,3.0,4.0
250,graduate,5.0,3.0,4.0,4.0,2.0,5.0
251,graduate,3.0,4.0,4.0,2.0,2.0,4.0
254,graduate,3.0,4.0,4.0,2.0,2.5,4.0
265,undergraduate,2.0,4.0,4.0,2.0,3.0,3.0
268,undergraduate,4.0,3.0,4.0,4.0,2.0,4.0
269,undergraduate,4.0,3.0,4.0,5.0,2.0,4.0
278,undergraduate,3.0,4.0,4.0,2.0,2.0,4.0
285,undergraduate,3.0,4.0,4.0,2.0,3.0,4.0
288,high_school,4.0,3.0,4.0,4.0,2.0,4.0
289,high_school,2.0,4.0,4.0,2.0,3.0,3.0
293,undergraduate,2.0,3.0,4.0,2.0,2.0,2.0
849,graduate,3.0,4.0,4.0,2.0,2.0,4.0
855,undergraduate,4.0,3.0,4.0,5.0,2.0,5.0
861,undergraduate,3.0,4.0,4.0,2.0,2.0,3.0
863,graduate,4.0,3.0,4.0,4.0,2.0,4.0
877,undergraduate,4.0,3.0,4.0,4.0,2.0,4.0
