session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,frustration,trust
37,undergraduate,4.4,3.0,4.0,4.0,2.2,2.0,4.6
38,graduate,4.0,3.8,4.0,3.0,2.8,2.4,4.0
40,graduate,4.0,3.4,4.2,3.2,2.4,2.4,4.0
41,graduate,4.0,3.2,4.0,3.0,2.2,2.0,4.0
45,undergraduate,4.0,3.0,4.0,3.8,2.2,2.0,4.2
47,undergraduate,4.2,3.0,4.0,3.2,2.2,2.2,4.0
50,undergraduate,4.0,3.2,4.0,3.0,2.2,3.0,3.6
55,undergraduate,4.0,3.0,4.0,3.0,2.0,2.0,4.0
59,undergraduate,4.6,3.2,4.0,3.8,2.6,2.0,4.4
67,undergraduate,2.0,3.0,4.0,2.0,2.8,3.0,2.0
73,undergraduate,3.0,4.0,4.0,2.8,2.8,3.2,3.0
123,graduate,4.8,3.8,4.0,4.0,2.8,2.0,4.2
125,graduate,2.6,3.8,4.0,2.8,3.0,3.0,2.6
127,graduate,4.0,3.6,4.0,3.4,2.6,2.0,4.0
129,undergraduate,3.2,3.8,4.0,2.8,2.8,3.0,2.8
131,undergraduate,4.2,3.0,4.0,4.0,2.4,2.0,4.2
137,undergraduate,4.2,3.0,4.0,4.0,2.2,2.0,4.0
143,graduate,4.0,3.6,4.0,3.0,2.6,2.2,4.0
153,graduate,4.0,3.4,4.0,3.0,2.4,2.0,4.0
154,graduate,2.0,4.0,4.0,2.8,3.0,3.0,2.2
156,graduate,4.0,3.4,4.0,3.4,2.6,2.0,4.0
166,graduate,4.0,3.8,4.0,3.2,2.8,2.0,4.0
170,graduate,4.0,3.2,4.0,3.0,2.2,2.6,4.0
172,high_school,2.0,3.6,4.0,2.0,3.0,4.0,2.0
180,graduate,2.4,4.0,4.0,2.4,3.0,3.0,2.4
188,high_school,2.0,4.0,4.2,2.0,3.0,4.0,2.0
198,high_school,2.0,3.6,4.0,2.0,3.0,4.0,2.0
214,high_school,3.0,4.0,4.0,2.2,2.8,3.8,2.2
215,high_school,2.0,4.0,4.8,1.4,3.0,4.0,1.8
219,high_school,5.0,3.2,4.0,4.6,2.2,1.0,5.0
221,high_school,3.2,3.8,4.0,2.8,2.6,3.4,2.6
228,undergraduate,4.0,3.0,4.0,3.0,2.6,2.0,4.0
229,undergraduate,3.0,4.0,4.0,2.8,2.4,3.0,2.8
237,undergraduate,2.0,3.2,3.8,2.0,3.0,3.4,2.0
239,graduate,4.8,3.6,4.0,4.0,2.8,2.0,4.4
241,graduate,4.0,3.4,4.0,3.2,2.6,2.0,4.0
242,graduate,4.6,3.6,4.0,4.0,2.8,2.0,4.6
244,graduate,4.8,3.8,4.0,4.2,2.8,2.0,4.6
246,graduate,2.6,4.0,4.0,2.8,3.0,3.2,2.6
250,graduate,5.0,3.6,4.0,4.4,2.8,2.0,4.8
251,graduate,2.0,4.0,4.0,2.4,3.0,3.6,2.2
254,graduate,3.0,4.0,4.0,3.0,3.0,3.0,3.0
265,undergraduate,2.2,3.8,4.0,2.4,3.0,3.0,2.2
268,undergraduate,4.6,3.2,4.0,4.0,2.4,2.0,4.4
269,undergraduate,4.6,3.0,4.0,4.0,2.8,2.0,4.6
278,undergraduate,3.0,3.8,3.8,3.0,2.8,3.0,3.0
285,undergraduate,4.0,3.0,4.0,3.0,2.4,2.0,3.8
288,high_school,4.0,3.0,4.0,3.0,2.0,2.0,4.0
289,high_school,3.0,4.0,4.0,2.0,3.0,4.0,2.0
293,undergraduate,2.0,4.0,4.0,2.2,3.0,4.0,2.0
849,graduate,4.0,4.0,4.0,3.0,3.0,3.0,3.6
855,undergraduate,5.0,3.2,4.0,4.4,2.2,1.6,5.0
861,undergraduate,2.8,3.8,4.0,2.2,3.0,3.4,2.2
863,graduate,3.8,3.6,4.0,3.0,2.8,2.2,3.6
877,undergraduate,4.0,3.0,4.0,3.0,2.4,2.4,4.0
