session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
37,undergraduate,5,3,4,4,2,5
38,graduate,4,4,4,3,3,4
40,graduate,4,3,4,3,2,4
41,graduate,4,3,4,3,2,4
45,undergraduate,4,3,4,3,2,4
47,undergraduate,4,3,4,3,2,4
50,undergraduate,4,3,4,3,2,3
55,undergraduate,4,3,4,3,2,4
59,undergraduate,4,3,4,4,3,4
67,undergraduate,2,3,4,2,3,2
73,undergraduate,3,4,4,3,3,3
123,graduate,4,3,4,4,2,4
125,graduate,3,4,4,3,3,3
127,graduate,4,3,4,3,2,4
129,undergraduate,3,4,4,3,3,3
131,undergraduate,4,3,4,4,2,4
137,undergraduate,4,3,4,4,2,4
143,graduate,4,3,4,3,2,4
153,graduate,4,3,4,3,2,4
154,graduate,2,4,4,3,3,2
156,graduate,4,3,4,3,2,4
166,graduate,4,4,4,3,3,4
170,graduate,4,3,4,3,2,4
172,high_school,2,4,4,2,3,2
180,graduate,3,4,4,2,3,2
188,high_school,2,4,4,2,3,2
198,high_school,2,4,4,2,3,2
214,high_school,3,4,4,2,3,2
215,high_school,2,4,5,2,3,2
219,high_school,5,3,4,4,2,5
221,high_school,3,4,4,2,3,2
228,undergraduate,4,3,4,3,2,4
229,undergraduate,3,4,4,3,3,3
237,undergraduate,2,4,4,2,3,2
239,graduate,5,3,4,4,2,4
241,graduate,4,4,4,3,3,4
242,graduate,4,3,4,4,2,4
244,graduate,4,3,4,4,2,4
246,graduate,3,4,4,3,3,3
250,graduate,5,4,4,4,3,5
251,graduate,2,4,4,2,3,2
254,graduate,3,4,4,3,3,3
265,undergraduate,2,4,4,2,3,2
268,undergraduate,4,3,4,4,3,4
269,undergraduate,5,3,4,4,3,4
278,undergraduate,3,4,4,3,3,3
285,undergraduate,4,3,4,3,2,4
288,high_school,4,3,4,3,2,4
289,high_school,3,4,4,2,3,2
293,undergraduate,2,4,4,2,3,2
849,graduate,4,4,4,3,3,3
855,undergraduate,5,3,4,4,2,5
861,undergraduate,3,4,4,3,3,3
863,graduate,3,4,4,3,3,3
877,undergraduate,4,3,4,3,2,4
