session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
2222,37,undergraduate,5,4,4,4,3,5
2258,38,graduate,5,3,4,4,2,5
2293,40,graduate,4,3,4,3,2,4
2328,41,graduate,5,3,4,4,2,5
303,45,undergraduate,5,3,3,5,1,5
374,47,undergraduate,4,2,2,4,1,5
706,50,undergraduate,5,3,4,4,2,5
712,55,undergraduate,4,3,4,3,2,4
717,59,undergraduate,4,3,4,4,2,4
721,67,undergraduate,5,3,4,4,2,5
727,73,undergraduate,5,4,4,4,3,5
730,123,graduate,5,4,4,4,3,5
734,125,graduate,5,4,4,4,3,5
740,127,graduate,4,3,4,3,2,4
744,129,undergraduate,5,3,4,4,2,4
747,131,undergraduate,5,4,4,3,2,4
751,137,undergraduate,4,3,4,3,2,4
753,143,graduate,3,4,4,3,2,4
756,153,graduate,5,3,4,4,2,5
760,154,graduate,5,3,4,4,2,5
763,156,graduate,4,3,4,3,2,4
766,166,graduate,5,3,4,4,2,5
769,170,graduate,4,3,4,4,2,4
772,172,high_school,4,3,4,3,2,4
775,180,graduate,5,3,4,4,2,5
778,188,high_school,4,3,4,3,2,4
779,198,high_school,4,3,4,3,2,4
782,214,high_school,3,4,4,3,2,4
783,215,high_school,5,4,4,4,3,5
786,219,high_school,4,3,4,3,2,4
787,221,high_school,5,3,4,4,2,4
790,228,undergraduate,5,4,4,4,3,5
793,229,undergraduate,5,4,4,4,3,5
794,237,undergraduate,4,3,4,3,2,4
797,239,graduate,5,4,4,4,2,5
800,241,graduate,5,4,4,4,3,5
801,242,graduate,5,3,4,4,2,5
804,244,graduate,5,4,4,4,3,5
806,246,graduate,5,4,4,3,2,5
808,250,graduate,5,3,4,4,2,5
811,251,graduate,5,3,4,4,2,5
814,254,graduate,5,4,4,4,3,5
815,265,undergraduate,4,3,4,3,2,4
818,268,undergraduate,4,3,4,4,2,4
820,269,undergraduate,5,3,4,4,2,5
821,278,undergraduate,3,4,4,3,2,4
823,285,undergraduate,4,3,4,4,2,4
825,288,high_school,4,3,4,3,2,4
826,289,high_school,4,3,4,3,2,4
828,293,undergraduate,5,3,4,4,2,5
3072,849,graduate,4,3,4,3,2,5
3081,855,undergraduate,5,3,4,4,2,5
3086,861,undergraduate,5,4,4,3,2,4
3095,863,graduate,5,4,4,4,3,5
3104,877,undergraduate,5,3,4,4,2,5
