session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
887,37,undergraduate,4,3,4,4,2,4
927,38,graduate,5,4,4,4,3,5
937,40,graduate,5,4,4,4,3,5
967,41,graduate,5,4,4,4,3,5
996,45,undergraduate,5,3,4,4,2,5
1021,47,undergraduate,5,3,4,4,2,5
1046,50,undergraduate,5,3,4,4,2,5
1076,55,undergraduate,4,3,4,3,2,4
1106,59,undergraduate,5,3,4,4,2,5
1141,67,undergraduate,4,3,4,3,2,4
1166,73,undergraduate,4,3,4,4,2,4
1196,123,graduate,5,3,4,4,2,5
1211,125,graduate,5,4,4,4,2,5
1246,127,graduate,5,4,4,4,3,5
1261,129,undergraduate,4,3,4,3,2,4
1286,131,undergraduate,4,3,4,4,2,4
1316,137,undergraduate,5,3,4,4,2,5
1341,143,graduate,5,4,4,4,3,5
1366,153,graduate,5,3,4,4,2,5
1396,154,graduate,4,3,4,4,2,4
1416,156,graduate,4,3,4,3,2,4
1446,166,graduate,4,3,4,4,2,5
1471,170,graduate,5,3,4,4,2,5
1496,172,high_school,5,4,4,3,2,4
1526,180,graduate,4,3,4,4,2,5
1546,188,high_school,4,3,4,3,2,4
1576,198,high_school,4,3,4,3,2,4
1601,214,high_school,4,3,4,3,2,4
1989,215,high_school,4,3,4,3,2,4
1627,219,high_school,5,3,4,4,2,4
1647,221,high_school,4,3,4,3,2,4
1677,228,undergraduate,5,4,4,4,3,5
1702,229,undergraduate,4,3,4,3,2,4
1727,237,undergraduate,5,3,4,4,2,5
1757,239,graduate,5,4,4,3,2,5
1777,241,graduate,5,3,4,4,2,5
1807,242,graduate,4,3,4,4,2,5
1837,244,graduate,5,4,4,4,2,5
2024,246,graduate,5,3,4,4,2,5
2045,250,graduate,5,4,4,4,3,5
2080,251,graduate,5,4,4,4,3,5
2115,254,graduate,4,3,4,4,2,5
2141,265,undergraduate,4,3,4,4,2,4
2176,268,undergraduate,5,3,4,4,2,5
2202,269,undergraduate,4,3,4,4,2,4
2220,278,undergraduate,4,3,4,4,2,4
2242,285,undergraduate,4,3,4,3,2,4
2269,288,high_school,4,3,4,3,2,4
2291,289,high_school,4,3,4,3,2,4
2317,293,undergraduate,5,4,4,4,3,5
2003,849,graduate,5,4,4,3,2,5
2041,855,undergraduate,5,3,4,4,2,5
2076,861,undergraduate,4,3,4,3,2,4
2111,863,graduate,4,3,4,4,2,5
2154,877,undergraduate,5,3,4,4,2,5
