session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
894,37,undergraduate,5,3,4,4,2,5
914,38,graduate,5,4,4,4,3,5
944,40,graduate,4,3,4,3,2,4
974,41,graduate,5,4,4,4,3,5
1003,45,undergraduate,5,3,4,4,2,5
1033,47,undergraduate,4,3,4,3,2,4
1048,50,undergraduate,4,3,4,3,2,4
1088,55,undergraduate,4,3,4,3,2,4
1098,59,undergraduate,5,3,4,4,2,5
1128,67,undergraduate,5,3,4,4,2,5
1158,73,undergraduate,5,3,4,4,2,4
1178,123,graduate,4,3,4,3,2,4
1213,125,graduate,5,3,4,4,2,5
1248,127,graduate,5,3,4,4,2,5
1263,129,undergraduate,5,4,4,4,3,5
1298,131,undergraduate,4,3,4,3,2,4
1328,137,undergraduate,5,3,4,4,2,5
1343,143,graduate,4,3,4,4,2,5
1378,153,graduate,5,3,4,4,2,5
1408,154,graduate,5,3,4,4,2,5
1428,156,graduate,5,4,4,4,3,5
1458,166,graduate,5,4,4,3,2,5
1483,170,graduate,5,3,4,4,2,5
1508,172,high_school,4,3,4,3,2,4
1538,180,graduate,5,4,4,4,3,5
1563,188,high_school,4,3,4,3,2,4
1588,198,high_school,4,3,4,3,2,4
1616,214,high_school,4,3,4,3,2,4
1619,215,high_school,4,3,4,3,2,4
1639,219,high_school,4,3,4,3,2,4
1664,221,high_school,4,3,4,3,2,4
1689,228,undergraduate,5,3,4,4,2,5
1719,229,undergraduate,5,3,4,4,2,5
1744,237,undergraduate,4,3,4,3,2,4
1769,239,graduate,4,3,4,4,2,5
1799,241,graduate,4,3,4,3,2,4
1824,242,graduate,4,3,4,4,2,5
1845,244,graduate,5,4,4,4,3,5
1867,246,graduate,4,3,4,3,2,4
1890,250,graduate,5,3,4,4,2,5
1917,251,graduate,5,4,4,4,3,5
1934,254,graduate,5,4,4,4,2,5
1961,265,undergraduate,5,3,4,4,2,5
1974,268,undergraduate,4,3,4,3,2,4
1990,269,undergraduate,5,3,4,4,2,5
2025,278,undergraduate,5,4,4,4,3,5
2068,285,undergraduate,5,3,4,4,2,5
2090,288,high_school,5,4,4,3,2,4
2116,289,high_school,4,3,4,3,2,4
2142,293,undergraduate,5,4,4,4,3,5
1854,849,graduate,5,4,4,4,3,5
1881,855,undergraduate,5,3,4,4,2,5
1903,861,undergraduate,4,3,4,4,2,4
1930,863,graduate,5,3,4,4,2,5
1948,877,undergraduate,4,3,4,3,2,4
