session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
37,undergraduate,5,3,4,4,2,5
38,graduate,5,3,4,4,2,5
40,graduate,5,4,4,4,2,5
41,graduate,5,4,4,4,2,5
45,undergraduate,5,3,4,3,2,5
47,undergraduate,5,3,4,4,2,5
50,undergraduate,5,3,4,4,2,4
55,undergraduate,5,4,4,3,2,4
59,undergraduate,5,3,4,4,2,4
67,undergraduate,5,4,4,4,2,5
73,undergraduate,5,3,4,4,2,5
123,graduate,5,3,4,4,2,5
125,graduate,5,4,4,4,2,5
127,graduate,5,4,4,4,3,5
129,undergraduate,4,3,4,3,2,4
131,undergraduate,5,3,4,4,2,5
137,undergraduate,5,4,4,3,2,5
143,graduate,5,3,4,4,2,5
153,graduate,5,3,4,4,2,5
154,graduate,5,3,4,4,2,5
156,graduate,5,3,4,4,2,5
166,graduate,4,3,4,4,2,5
170,graduate,5,3,4,4,2,5
172,high_school,4,3,4,3,2,4
180,graduate,4,3,4,3,2,4
188,high_school,4,3,4,3,2,4
198,high_school,4,3,4,3,2,4
214,high_school,4,3,4,3,2,4
215,high_school,4,3,4,3,2,4
219,high_school,4,3,4,3,2,4
221,high_school,4,3,4,3,2,4
228,undergraduate,5,3,4,4,2,5
229,undergraduate,5,4,4,4,2,5
237,undergraduate,4,3,4,4,2,4
239,graduate,4,3,4,4,2,5
241,graduate,5,3,4,4,2,5
242,graduate,5,3,4,4,2,5
244,graduate,5,3,4,4,2,5
246,graduate,5,4,4,4,2,5
250,graduate,5,3,4,4,2,5
251,graduate,5,4,4,4,3,5
254,graduate,5,3,4,4,2,5
265,undergraduate,4,3,4,4,2,4
268,undergraduate,4,3,4,3,2,4
269,undergraduate,5,3,4,4,2,5
278,undergraduate,4,3,4,3,2,4
285,undergraduate,4,3,4,4,2,4
288,high_school,4,3,4,3,2,4
289,high_school,4,3,4,3,2,4
293,undergraduate,5,3,4,4,2,5
849,graduate,4,3,4,4,2,5
855,undergraduate,5,3,4,4,2,5
861,undergraduate,5,3,4,4,2,5
863,graduate,5,3,4,4,2,5
877,undergraduate,5,3,4,4,2,4
