session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
2194,37,undergraduate,4,3,4,4,2,4
2216,38,graduate,4,3,4,3,2,4
2252,40,graduate,5,4,4,4,3,5
2287,41,graduate,5,4,4,4,3,5
2436,45,undergraduate,5,4,4,4,3,5
2445,47,undergraduate,5,3,4,4,2,5
2462,50,undergraduate,5,4,4,4,3,5
2479,55,undergraduate,4,3,4,3,2,4
2488,59,undergraduate,5,3,4,4,2,4
2505,67,undergraduate,5,4,4,3,2,4
2518,73,undergraduate,5,3,4,4,2,5
2534,123,graduate,4,3,4,4,2,5
2551,125,graduate,5,4,4,4,2,5
2564,127,graduate,5,4,4,4,2,5
2581,129,undergraduate,4,3,4,4,2,4
2593,131,undergraduate,5,4,4,4,3,5
2610,137,undergraduate,5,4,4,3,2,5
2627,143,graduate,5,3,4,4,2,5
2644,153,graduate,5,3,4,4,2,5
2656,154,graduate,5,4,4,4,3,5
2673,156,graduate,5,4,4,4,3,5
2686,166,graduate,3,4,4,3,2,4
2703,170,graduate,5,3,4,4,2,5
2712,172,high_school,4,3,4,3,2,4
2724,180,graduate,4,3,4,3,2,4
2741,188,high_school,4,3,4,4,2,4
2750,198,high_school,4,3,4,3,2,4
2767,214,high_school,4,3,4,3,2,4
2780,215,high_school,4,3,4,3,2,4
2788,219,high_school,4,3,4,3,2,4
2801,221,high_school,4,3,4,3,2,4
2814,228,undergraduate,5,3,4,4,2,5
2831,229,undergraduate,4,3,4,3,2,4
2844,237,undergraduate,4,3,4,3,2,4
2857,239,graduate,5,3,4,4,2,5
2869,241,graduate,4,3,4,4,2,5
2882,242,graduate,5,4,4,4,3,5
2895,244,graduate,3,4,4,3,2,4
2904,246,graduate,5,4,4,4,3,5
2917,250,graduate,5,4,4,4,3,5
2930,251,graduate,5,4,4,4,3,5
2938,254,graduate,5,4,4,4,3,5
2947,265,undergraduate,4,3,4,3,2,4
2960,268,undergraduate,5,4,4,3,2,4
2973,269,undergraduate,5,3,4,4,2,5
2977,278,undergraduate,5,3,4,4,2,5
2990,285,undergraduate,4,3,4,4,2,4
3003,288,high_school,4,3,4,3,2,4
3012,289,high_school,4,3,4,3,2,4
3020,293,undergraduate,5,4,4,3,2,4
2322,849,graduate,4,3,4,4,2,4
2349,855,undergraduate,5,4,4,4,2,5
2368,861,undergraduate,4,3,4,3,2,4
2386,863,graduate,5,3,4,4,2,5
2414,877,undergraduate,5,3,4,4,2,5
