session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
892,37,undergraduate,4,3,4,4,2,4
922,38,graduate,3,4,4,3,2,4
942,40,graduate,5,4,4,4,3,5
972,41,graduate,5,4,4,4,2,5
1011,45,undergraduate,5,4,4,4,3,5
1041,47,undergraduate,5,3,4,4,2,5
1061,50,undergraduate,3,4,4,3,2,4
1086,55,undergraduate,5,4,4,4,3,5
1096,59,undergraduate,5,3,4,4,2,5
1126,67,undergraduate,4,3,4,3,2,4
1156,73,undergraduate,5,4,4,4,2,5
1176,123,graduate,5,3,4,4,2,5
1206,125,graduate,4,3,4,4,2,5
1236,127,graduate,5,4,4,4,3,5
1256,129,undergraduate,5,3,4,4,2,5
1291,131,undergraduate,4,3,4,3,2,4
1321,137,undergraduate,5,3,4,4,2,5
1351,143,graduate,5,3,4,4,2,5
1376,153,graduate,5,4,4,4,3,5
1406,154,graduate,5,3,4,4,2,5
1426,156,graduate,5,3,4,4,2,5
1451,166,graduate,5,4,4,4,3,5
1476,170,graduate,5,3,4,4,2,5
1501,172,high_school,4,3,4,3,2,4
1531,180,graduate,5,3,4,4,2,5
1551,188,high_school,5,4,4,4,3,5
1581,198,high_school,4,3,4,3,2,4
1611,214,high_school,3,4,4,3,2,3
2007,215,high_school,5,4,4,3,2,4
1637,219,high_school,5,4,4,3,2,4
1662,221,high_school,3,4,4,3,2,4
1687,228,undergraduate,4,3,4,3,2,4
1717,229,undergraduate,5,3,4,4,2,5
1737,237,undergraduate,4,3,4,3,2,4
1767,239,graduate,4,3,4,3,2,4
1792,241,graduate,5,4,4,4,3,5
1817,242,graduate,5,4,4,4,3,5
1842,244,graduate,5,3,4,4,2,5
2036,246,graduate,4,3,4,4,2,5
2067,250,graduate,5,4,4,4,2,5
2097,251,graduate,5,3,4,4,2,5
2132,254,graduate,5,3,4,4,2,5
2167,265,undergraduate,5,3,4,4,2,5
2189,268,undergraduate,5,3,4,4,2,5
2211,269,undergraduate,5,3,4,4,2,5
2229,278,undergraduate,4,3,4,3,2,4
2256,285,undergraduate,5,3,4,4,2,5
2277,288,high_school,5,4,4,3,2,4
2305,289,high_school,4,3,4,3,2,3
2326,293,undergraduate,5,3,4,4,2,5
2016,849,graduate,4,3,4,4,2,5
2050,855,undergraduate,4,3,4,3,2,4
2085,861,undergraduate,4,3,4,4,2,4
2137,863,graduate,5,3,4,4,2,5
2172,877,undergraduate,5,4,4,4,2,5
