session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
900,37,undergraduate,5,4,4,4,3,5
930,38,graduate,5,3,4,4,2,5
950,40,graduate,5,3,4,4,2,5
980,41,graduate,5,4,4,4,3,5
999,45,undergraduate,4,3,4,3,2,4
1029,47,undergraduate,5,4,4,4,3,5
1054,50,undergraduate,5,4,4,3,2,4
1079,55,undergraduate,5,3,4,4,2,5
1114,59,undergraduate,4,3,4,4,2,4
1134,67,undergraduate,4,3,4,3,2,4
1169,73,undergraduate,5,3,4,4,2,5
1184,123,graduate,4,3,4,3,2,4
1219,125,graduate,5,3,4,4,2,5
1239,127,graduate,4,3,4,3,2,4
1269,129,undergraduate,5,3,4,4,2,5
1294,131,undergraduate,4,3,4,3,2,4
1324,137,undergraduate,4,3,4,3,2,4
1334,143,graduate,5,3,4,4,2,5
1369,153,graduate,5,3,4,4,2,5
1389,154,graduate,5,4,4,4,3,5
1419,156,graduate,5,4,4,4,3,5
1454,166,graduate,5,3,4,4,2,5
1479,170,graduate,4,3,4,4,2,5
1504,172,high_school,4,3,4,3,2,4
1534,180,graduate,5,3,4,4,2,5
1559,188,high_school,4,3,4,3,2,4
1584,198,high_school,4,3,4,3,2,4
1613,214,high_school,4,3,4,3,2,4
1850,215,high_school,4,3,4,3,2,4
1630,219,high_school,4,3,4,3,2,4
1655,221,high_school,4,3,4,3,2,4
1680,228,undergraduate,5,4,4,4,3,5
1710,229,undergraduate,5,4,4,3,2,4
1730,237,undergraduate,4,3,4,3,2,4
1760,239,graduate,5,3,4,4,2,5
1795,241,graduate,5,3,4,4,2,5
1820,242,graduate,5,3,4,4,2,5
1877,244,graduate,5,4,4,4,3,5
1899,246,graduate,5,4,4,4,3,5
1922,250,graduate,5,3,4,4,2,5
1939,251,graduate,5,3,4,4,2,5
1966,254,graduate,5,3,4,4,2,5
1979,265,undergraduate,5,3,4,4,2,5
2009,268,undergraduate,4,3,4,3,2,4
2030,269,undergraduate,4,3,4,3,2,4
2061,278,undergraduate,4,3,4,4,2,5
2087,285,undergraduate,5,3,4,4,2,4
2121,288,high_school,4,3,4,3,2,4
2147,289,high_school,4,3,4,3,2,4
2178,293,undergraduate,4,3,4,3,2,4
1860,849,graduate,4,3,4,3,2,4
1887,855,undergraduate,4,3,4,3,2,4
1909,861,undergraduate,5,3,4,4,2,5
1944,863,graduate,5,3,4,4,2,5
1971,877,undergraduate,5,3,4,4,2,5
