metric,metric_label,U_stat,p_value,significance,crowd_n,agent_n,mode,prompt,model,profile
accomplishment,Q1: Accomplishment,963.0,0.00035014989766890314,***,55,55,E2E Agent,Role-Anchored,Mistral-24B,All
effort_required,Q2: Effort Required,2739.5,1.737912389013301e-15,***,55,55,E2E Agent,Role-Anchored,Mistral-24B,All
mental_demand,Q3: Mental Demand,2172.5,1.6009401151057236e-06,***,55,55,E2E Agent,Role-Anchored,Mistral-24B,All
perceived_controllability,Q4: Controllability,1691.0,0.24919847993451272,ns,55,55,E2E Agent,Role-Anchored,Mistral-24B,All
temporal_demand,Q5: Temporal Demand,2485.5,1.4679710412391908e-10,***,55,55,E2E Agent,Role-Anchored,Mistral-24B,All
trust,Q6: Trust,808.5,6.472335067832807e-06,***,55,55,E2E Agent,Role-Anchored,Mistral-24B,All
accomplishment,Q1: Accomplishment,36.0,0.6543344191690161,ns,9,9,E2E Agent,Role-Anchored,Mistral-24B,high_school
effort_required,Q2: Effort Required,67.5,0.009237314357999097,**,9,9,E2E Agent,Role-Anchored,Mistral-24B,high_school
mental_demand,Q3: Mental Demand,54.0,0.14293891411903953,ns,9,9,E2E Agent,Role-Anchored,Mistral-24B,high_school
perceived_controllability,Q4: Controllability,58.5,0.08820150262646032,ns,9,9,E2E Agent,Role-Anchored,Mistral-24B,high_school
temporal_demand,Q5: Temporal Demand,58.5,0.08860097919771151,ns,9,9,E2E Agent,Role-Anchored,Mistral-24B,high_school
trust,Q6: Trust,27.0,0.18838513471909535,ns,9,9,E2E Agent,Role-Anchored,Mistral-24B,high_school
accomplishment,Q1: Accomplishment,166.5,0.019982439983320915,*,23,23,E2E Agent,Role-Anchored,Mistral-24B,undergraduate
effort_required,Q2: Effort Required,483.5,2.2482955823052843e-07,***,23,23,E2E Agent,Role-Anchored,Mistral-24B,undergraduate
mental_demand,Q3: Mental Demand,345.0,0.03978326389629477,*,23,23,E2E Agent,Role-Anchored,Mistral-24B,undergraduate
perceived_controllability,Q4: Controllability,205.5,0.16449798642761781,ns,23,23,E2E Agent,Role-Anchored,Mistral-24B,undergraduate
temporal_demand,Q5: Temporal Demand,448.5,3.962991540790109e-06,***,23,23,E2E Agent,Role-Anchored,Mistral-24B,undergraduate
trust,Q6: Trust,127.5,0.0015486940788951408,**,23,23,E2E Agent,Role-Anchored,Mistral-24B,undergraduate
accomplishment,Q1: Accomplishment,133.0,0.0004955856280454365,***,23,23,E2E Agent,Role-Anchored,Mistral-24B,graduate
effort_required,Q2: Effort Required,489.5,7.172232676873259e-08,***,23,23,E2E Agent,Role-Anchored,Mistral-24B,graduate
mental_demand,Q3: Mental Demand,425.5,9.72135519767369e-06,***,23,23,E2E Agent,Role-Anchored,Mistral-24B,graduate
perceived_controllability,Q4: Controllability,350.5,0.025654302725166115,*,23,23,E2E Agent,Role-Anchored,Mistral-24B,graduate
temporal_demand,Q5: Temporal Demand,443.5,2.3589539023990062e-05,***,23,23,E2E Agent,Role-Anchored,Mistral-24B,graduate
trust,Q6: Trust,101.5,2.1213557453624275e-05,***,23,23,E2E Agent,Role-Anchored,Mistral-24B,graduate
