session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
2127,37,undergraduate,5,3,4,4,2,5
2184,38,graduate,5,3,4,4,2,5
2237,40,graduate,5,4,4,4,3,5
2281,41,graduate,5,4,4,4,3,5
2507,45,undergraduate,5,4,4,4,3,5
2528,47,undergraduate,5,4,4,4,3,5
2553,50,undergraduate,4,3,4,3,2,4
2583,55,undergraduate,5,4,4,4,2,5
2604,59,undergraduate,5,3,4,4,2,5
2629,67,undergraduate,5,3,4,4,2,5
2650,73,undergraduate,5,4,4,3,2,4
2675,123,graduate,5,3,4,4,2,5
2692,125,graduate,5,4,4,4,2,5
2718,127,graduate,5,3,4,4,2,5
2735,129,undergraduate,5,3,4,4,2,5
2756,131,undergraduate,5,3,4,4,2,5
2782,137,undergraduate,5,3,4,4,2,5
2803,143,graduate,5,4,4,4,3,5
2825,153,graduate,5,3,4,4,2,5
2846,154,graduate,5,3,4,4,2,5
2863,156,graduate,5,3,4,4,2,5
2884,166,graduate,5,3,4,4,2,5
2906,170,graduate,5,3,4,4,2,5
2919,172,high_school,5,3,4,4,2,5
2932,180,graduate,5,4,4,4,3,5
2949,188,high_school,5,4,4,3,2,4
2962,198,high_school,5,4,4,4,3,5
2979,214,high_school,4,3,4,3,2,4
2998,215,high_school,4,3,4,3,2,4
3015,219,high_school,4,3,4,3,2,4
3028,221,high_school,4,3,4,3,2,4
3037,228,undergraduate,5,4,4,4,3,5
3051,229,undergraduate,5,3,4,4,2,5
3060,237,undergraduate,5,3,4,4,2,5
3069,239,graduate,4,3,4,4,2,5
3078,241,graduate,4,3,4,3,2,4
3092,242,graduate,4,3,4,4,2,5
3101,244,graduate,5,3,4,4,2,5
3110,246,graduate,5,4,4,4,3,5
3118,250,graduate,5,3,4,4,2,5
3130,251,graduate,5,4,4,4,3,5
3138,254,graduate,5,3,4,4,2,5
3146,265,undergraduate,5,4,4,4,3,5
3154,268,undergraduate,5,3,4,4,2,5
3114,269,undergraduate,5,3,4,4,2,5
3122,278,undergraduate,5,3,4,4,2,4
3126,285,undergraduate,5,3,4,4,2,5
3134,288,high_school,5,4,4,3,2,4
3142,289,high_school,5,4,4,3,2,4
3150,293,undergraduate,5,3,4,4,2,5
2335,849,graduate,5,3,4,4,2,5
2362,855,undergraduate,5,3,4,4,2,5
2395,861,undergraduate,5,4,4,3,2,4
2431,863,graduate,5,3,4,4,2,5
2457,877,undergraduate,5,3,4,4,2,5
