session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
911,37,undergraduate,5,3,4,4,2,5
961,38,graduate,5,3,4,4,2,5
991,40,graduate,5,3,4,4,2,5
1026,41,graduate,5,3,4,4,2,5
1070,45,undergraduate,5,4,4,4,2,5
1120,47,undergraduate,5,3,4,4,2,5
1150,50,undergraduate,4,3,4,3,2,4
1200,55,undergraduate,5,3,4,4,2,5
1230,59,undergraduate,5,3,4,4,2,5
1275,67,undergraduate,5,4,4,4,3,5
1310,73,undergraduate,4,3,4,4,2,4
1355,123,graduate,5,4,4,4,3,5
1385,125,graduate,4,3,4,4,2,5
1435,127,graduate,4,3,4,3,2,4
1465,129,undergraduate,5,4,4,4,3,5
1515,131,undergraduate,5,3,4,4,2,5
1555,137,undergraduate,4,3,4,3,2,4
1595,143,graduate,5,3,4,4,2,5
1865,153,graduate,5,3,4,4,2,5
1651,154,graduate,4,3,4,4,2,5
1696,156,graduate,5,3,4,4,2,5
1741,166,graduate,5,4,4,4,3,5
1781,170,graduate,4,3,4,4,2,4
1811,172,high_school,4,3,4,3,2,4
1896,180,graduate,5,3,4,4,2,5
1927,188,high_school,4,3,4,3,2,4
1954,198,high_school,5,3,4,4,2,4
1984,214,high_school,4,3,4,3,2,4
2019,215,high_school,4,3,4,3,2,4
2058,219,high_school,5,4,4,3,2,4
2105,221,high_school,5,4,4,4,3,5
2162,228,undergraduate,5,3,4,4,2,5
2197,229,undergraduate,5,4,4,4,3,5
2232,237,undergraduate,5,4,4,4,3,5
2272,239,graduate,5,3,4,4,2,5
2312,241,graduate,4,3,4,3,2,4
2343,242,graduate,5,3,4,4,2,5
2376,244,graduate,5,4,4,4,3,5
2399,246,graduate,5,3,4,4,2,5
2417,250,graduate,5,3,4,4,2,5
2448,251,graduate,5,4,4,4,3,5
2470,254,graduate,5,4,4,4,3,5
2491,265,undergraduate,5,3,4,4,2,4
2521,268,undergraduate,5,3,4,4,2,5
2542,269,undergraduate,5,3,4,4,2,5
2567,278,undergraduate,5,3,4,4,2,5
2588,285,undergraduate,5,3,4,4,2,5
2613,288,high_school,5,4,3,4,2,5
2634,289,high_school,5,3,4,4,2,5
2664,293,undergraduate,5,3,4,4,2,5
1874,849,graduate,5,3,4,4,2,5
1915,855,undergraduate,5,3,4,4,2,5
1959,861,undergraduate,5,4,4,4,3,5
1997,863,graduate,5,3,4,4,2,5
2054,877,undergraduate,5,3,4,4,2,5
